Id,group_id,fold,actual_Q0_TOTAL_ASSETS,actual_Q0_TOTAL_LIABILITIES,actual_Q0_TOTAL_STOCKHOLDERS_EQUITY,actual_Q0_GROSS_PROFIT,actual_Q0_COST_OF_REVENUES,actual_Q0_REVENUES,actual_Q0_OPERATING_INCOME,actual_Q0_OPERATING_EXPENSES,actual_Q0_EBITDA,B0_Q0_TOTAL_ASSETS,B0_Q0_TOTAL_LIABILITIES,B0_Q0_TOTAL_STOCKHOLDERS_EQUITY,B0_Q0_GROSS_PROFIT,B0_Q0_COST_OF_REVENUES,B0_Q0_REVENUES,B0_Q0_OPERATING_INCOME,B0_Q0_OPERATING_EXPENSES,B0_Q0_EBITDA,B1_Q0_TOTAL_ASSETS,B1_Q0_TOTAL_LIABILITIES,B1_Q0_TOTAL_STOCKHOLDERS_EQUITY,B1_Q0_GROSS_PROFIT,B1_Q0_COST_OF_REVENUES,B1_Q0_REVENUES,B1_Q0_OPERATING_INCOME,B1_Q0_OPERATING_EXPENSES,B1_Q0_EBITDA,B2_Q0_TOTAL_ASSETS,B2_Q0_TOTAL_LIABILITIES,B2_Q0_TOTAL_STOCKHOLDERS_EQUITY,B2_Q0_GROSS_PROFIT,B2_Q0_COST_OF_REVENUES,B2_Q0_REVENUES,B2_Q0_OPERATING_INCOME,B2_Q0_OPERATING_EXPENSES,B2_Q0_EBITDA,B3_Q0_TOTAL_ASSETS,B3_Q0_TOTAL_LIABILITIES,B3_Q0_TOTAL_STOCKHOLDERS_EQUITY,B3_Q0_GROSS_PROFIT,B3_Q0_COST_OF_REVENUES,B3_Q0_REVENUES,B3_Q0_OPERATING_INCOME,B3_Q0_OPERATING_EXPENSES,B3_Q0_EBITDA,B4_Q0_TOTAL_ASSETS,B4_Q0_TOTAL_LIABILITIES,B4_Q0_TOTAL_STOCKHOLDERS_EQUITY,B4_Q0_GROSS_PROFIT,B4_Q0_COST_OF_REVENUES,B4_Q0_REVENUES,B4_Q0_OPERATING_INCOME,B4_Q0_OPERATING_EXPENSES,B4_Q0_EBITDA
196,1119,4,1192950000.0,1055816000.0,137134000.0,25598000.0,61899000.0,42992000.0,15222000.0,10383000.0,15215000.0,4727288030.718462,3211783158.4280415,1232631661.462514,441757192.47692305,672585084.3115385,1096637221.1707692,96537440.85615385,369189874.7430769,72567317.73384616,1192950000.0,1055816000.0,137134000.0,27712000.0,62888000.0,42550000.0,19725000.0,9180000.0,18532000.0,1178631000.0,1050616000.0,128015000.0,33164000.0,61877000.0,46210000.0,23265000.0,9041000.0,24123000.0,1200109499.9999998,1058416000.0,141693499.9999999,28369000.0,63790999.99999998,44313499.99999998,20667999.999999993,8939500.0,19429499.999999993,1178631000.0,1050616000.0,130750699.99999999,27712000.0,62786900.0,42916000.0,21258499.999999996,9128150.0,19919449.999999996
1568,556,2,1219954000.0,835046000.0,384908000.0,111786000.0,217796000.0,329582000.0,28908000.0,85522000.0,26264000.0,4477527608.691301,3116993103.3607926,1060132734.0932164,414394115.5442648,654843072.9761355,1048567242.1909161,92227053.46728252,348255722.2755966,66138393.268668205,1253205000.0,886176000.0,367029000.0,95873000.0,199919000.0,295792000.0,9477000.0,86254000.0,9619000.0,1313447000.0,966070000.0,347377000.0,116706000.0,229899000.0,346605000.0,34525000.0,81371000.0,35335000.0,-702199499.9999975,-558468499.9999983,-143730999.99999946,90241500.0,200025500.00000003,290266999.99999994,-15079999.999999972,87308000.00000001,2933500.0000000037,1313447000.0,966070000.0,249155400.00000012,95873000.0,202917000.0,300873300.0,4712900.000000014,85382800.0,12756550.000000002
1218,1577,0,-135820000000.0,-37972000000.0,-97848000000.0,-435000000.0,4445000000.0,4010000000.0,-1472000000.0,219000000.0,-654000000.0,5572920030.95766,3400494987.3406277,1831684863.2391856,406234554.0184758,658548990.7721324,1040845932.5111624,102754619.98691301,340547538.3425712,65687015.67590454,65680000000.0,20275000000.0,45405000000.0,-668000000.0,4420000000.0,3752000000.0,-1761000000.0,219000000.0,-887000000.0,66283000000.0,16376000000.0,49907000000.0,13898000000.0,16860000000.0,30758000000.0,9702000000.0,1066000000.0,12832000000.0,65798499999.999985,21718500000.0,44079999999.99998,-8219999999.999991,-1560499999.9999907,-9780499999.99998,-7763499999.99999,-198499999.9999995,-8021499999.9999895,66283000000.0,16376000000.0,48741600000.0,-668000000.0,5664000000.0,6452600000.0,-1323349999.9999952,346650000.00000006,-283549999.99999666
23,1062,1,83298000.0,16040000.0,-31633000.0,494000.0,3339000.0,3833000.0,-12348000.0,12842000.0,-12348000.0,4569392647.153194,3148205417.965642,1102833887.9482822,442438272.06466514,662012570.395689,1080646990.1424172,99137490.8860662,385791846.87836796,56646425.18629715,94091000.0,17885000.0,-22685000.0,434000.0,2348000.0,2787000.0,-15116000.0,15550000.0,-15116000.0,32835000.0,20401000.0,12434000.0,-71000.0,1872000.0,1778000.0,-15020000.0,14949000.0,-15020000.0,130008499.9999999,15966000.0,-34293999.99999996,432499.99999999994,2135999.9999999995,2640499.999999999,-14627499.99999999,15060000.000000002,-14627499.99999999,32835000.0,20401000.0,3088400.0000000075,434000.0,2300400.0,2686100.0,-14842949.999999996,15380800.0,-14950249.999999996
783,805,3,148546000.0,56555000.0,91991000.0,1761000.0,-2375000.0,-614000.0,-10098000.0,11859000.0,-10098000.0,4641379180.050808,3122869605.61366,1222168580.2567902,415573749.07929176,644449495.9491917,1047932274.8583525,101471620.37028484,335075420.6374134,80498328.44187836,154856000.0,61778000.0,93078000.0,131454000.0,-130986000.0,468000.0,116514000.0,14940000.0,116514000.0,112293000.0,95084000.0,17209000.0,1557000.0,0.0,1557000.0,-21801000.0,23358000.0,-21801000.0,133857500.00000003,64341000.00000001,69516500.0,131240499.99999996,-130985999.99999997,254500.00000000015,122073499.99999996,9166999.999999998,122073499.99999996,112293000.0,95084000.0,27670500.0,131454000.0,-117887400.0,576900.0,77799249.99999997,16046300.0,90518849.99999999
1251,822,1,7304300000.0,2451900000.0,4830200000.0,578200000.0,581100000.0,1159300000.0,245200000.0,333000000.0,245200000.0,4569392647.153194,3148205417.965642,1102833887.9482822,442438272.06466514,662012570.395689,1080646990.1424172,99137490.8860662,385791846.87836796,56646425.18629715,7230400000.0,2451100000.0,4757100000.0,603700000.0,587600000.0,1191300000.0,277000000.0,326700000.0,277000000.0,6835500000.0,2496000000.0,4317200000.0,532600000.0,569900000.0,1102500000.0,223500000.0,309100000.0,223500000.0,7375449999.999999,2449700000.000001,4903600000.0,632199999.9999998,599349999.9999998,1231549999.9999998,295149999.9999999,337049999.9999999,295149999.9999999,6835500000.0,2496000000.0,4434480000.0,603700000.0,585830000.0,1182420000.0,270024999.99999994,324215000.0,271744999.99999994
1224,228,0,1976905000.0,699909000.0,1276996000.0,53993000.0,315825000.0,369818000.0,-1572000.0,371390000.0,-317397000.0,5572920030.95766,3400494987.3406277,1831684863.2391856,406234554.0184758,658548990.7721324,1040845932.5111624,102754619.98691301,340547538.3425712,65687015.67590454,1933027000.0,647412000.0,1285615000.0,77969000.0,318948000.0,396917000.0,20508000.0,376409000.0,-298440000.0,1854286000.0,592152000.0,1262134000.0,50656000.0,283695000.0,334351000.0,-7633000.0,341984000.0,-291328000.0,1974132500.0,684241999.9999999,1289890500.0000005,77456999.99999999,321923999.9999998,399380999.9999998,23596999.999999985,375783999.9999999,-298327000.0,1854286000.0,592152000.0,1267685300.0,77969000.0,315422700.0,390660400.0,13610199.999999993,369461500.0,-296983700.0
1410,1451,2,2097274000.0,1132234000.0,965931000.0,70481000.0,291052000.0,361533000.0,58709000.0,11772000.0,58709000.0,4477527608.691301,3116993103.3607926,1060132734.0932164,414394115.5442648,654843072.9761355,1048567242.1909161,92227053.46728252,348255722.2755966,66138393.268668205,2170891000.0,1198289000.0,973318000.0,168069000.0,293998000.0,462067000.0,154489000.0,11960000.0,156109000.0,2098763000.0,1228506000.0,870556000.0,71638000.0,229361000.0,300999000.0,56317000.0,15321000.0,56317000.0,2169246499.9999995,1220607999.9999998,949584999.9999996,145221499.99999997,291973499.9999999,437194999.9999998,134144999.99999999,9456499.999999996,135765000.0,2098763000.0,1228506000.0,886361800.0,168069000.0,287534300.0,445960200.0,114865400.0,12381850.0,130047400.0
529,34,4,31183000.0,15926000.0,15257000.0,2456000.0,2151000.0,4607000.0,-2931000.0,5387000.0,-2931000.0,4727288030.718462,3211783158.4280415,1232631661.462514,441757192.47692305,672585084.3115385,1096637221.1707692,96537440.85615385,369189874.7430769,72567317.73384616,33986000.0,16179000.0,17807000.0,2254000.0,2449000.0,4703000.0,-4284000.0,6538000.0,-4284000.0,39311000.0,10697000.0,28614000.0,1686000.0,1643000.0,3329000.0,-3654000.0,5340000.0,-3654000.0,32882500.0,18740999.99999999,14141500.000000015,2410999.9999999995,2688499.999999998,5099499.999999997,-4680999.999999997,7091999.999999998,-4680999.999999997,39311000.0,10697000.0,25719500.000000004,2254000.0,2368400.0,4565600.0,-4293499.999999998,6353800.0,-4277099.999999999
730,909,4,978523000.0,851196000.0,-94184000.0,24321000.0,137937000.0,162258000.0,-764000.0,25085000.0,-764000.0,4727288030.718462,3211783158.4280415,1232631661.462514,441757192.47692305,672585084.3115385,1096637221.1707692,96537440.85615385,369189874.7430769,72567317.73384616,1010273000.0,869594000.0,-78075000.0,24213000.0,132725000.0,156938000.0,-12360000.0,36573000.0,-12360000.0,1157210000.0,864503000.0,147433000.0,-94394000.0,236707000.0,142313000.0,-119657000.0,25263000.0,-119657000.0,954548500.0000004,879816000.0000002,-143973999.9999998,81022999.99999993,80135500.00000004,161158500.0,41783999.9999999,39238999.999999985,41783999.9999999,1157210000.0,864503000.0,89151600.00000004,24213000.0,143123200.0,155475500.0,-17477100.00000005,34577600.0,-17576200.00000003
