Id,group_id,fold,actual_Q0_TOTAL_ASSETS,pred_Q0_TOTAL_ASSETS,actual_Q0_TOTAL_LIABILITIES,pred_Q0_TOTAL_LIABILITIES,actual_Q0_TOTAL_STOCKHOLDERS_EQUITY,pred_Q0_TOTAL_STOCKHOLDERS_EQUITY,actual_Q0_GROSS_PROFIT,pred_Q0_GROSS_PROFIT,actual_Q0_COST_OF_REVENUES,pred_Q0_COST_OF_REVENUES,actual_Q0_REVENUES,pred_Q0_REVENUES,actual_Q0_OPERATING_INCOME,pred_Q0_OPERATING_INCOME,actual_Q0_OPERATING_EXPENSES,pred_Q0_OPERATING_EXPENSES,actual_Q0_EBITDA,pred_Q0_EBITDA
196,1499,1,1192950000.0,1166259495.507861,1055816000.0,1031221992.6894542,137134000.0,151856311.90366542,25598000.0,39486306.50046656,61899000.0,64574156.65370352,42992000.0,54452858.3078983,15222000.0,18437515.905447178,10383000.0,15491329.865984846,15215000.0,23994976.634481404
1568,1145,4,1219954000.0,1457925747.9427156,835046000.0,1015346619.3087962,384908000.0,314216490.5399517,111786000.0,111084321.33936802,217796000.0,152216805.03902847,329582000.0,251552041.07251608,28908000.0,19476057.362510666,85522000.0,96875038.52805114,26264000.0,14209282.811316978
1218,856,0,-135820000000.0,15747556709.366295,-37972000000.0,-805649321.3353946,-97848000000.0,15957291445.699137,-435000000.0,1309580408.953515,4445000000.0,9706730836.370424,4010000000.0,8769445285.694237,-1472000000.0,-2171645353.4747553,219000000.0,3655253084.0524282,-654000000.0,-2345672675.0988736
23,1337,2,83298000.0,231136221.3795938,16040000.0,160433539.4733843,-31633000.0,58799104.49264711,494000.0,21703492.36814921,3339000.0,-14251345.46522383,3833000.0,9852592.945936441,-12348000.0,-57369.41402678378,12842000.0,12326029.510095455,-12348000.0,9377462.858053926
783,1345,4,148546000.0,323072244.6497299,56555000.0,139356934.65481362,91991000.0,265416639.9410485,1761000.0,115358675.64414154,-2375000.0,-163735014.08488816,-614000.0,-48848758.71446273,-10098000.0,69266244.50524463,11859000.0,17958427.040049944,-10098000.0,97400248.60409199
1251,1021,3,7304300000.0,7061104370.15615,2451900000.0,2477572762.5147834,4830200000.0,4087692236.850433,578200000.0,604194604.3392729,581100000.0,618681064.1084889,1159300000.0,1208830928.2299135,245200000.0,171798665.1542259,333000000.0,410624965.2470356,245200000.0,193569639.09223658
1224,234,4,1976905000.0,2140044396.6170065,699909000.0,864942003.8717968,1276996000.0,1318935928.3940492,53993000.0,100841712.70648234,315825000.0,186055914.63201016,369818000.0,289867091.4912472,-1572000.0,41491142.00536055,371390000.0,378898356.63185036,-317397000.0,-278056643.92536736
1410,323,0,2097274000.0,2988363832.7629085,1132234000.0,1622302359.065598,965931000.0,1436573886.4065056,70481000.0,137740666.36528915,291052000.0,467200266.862315,361533000.0,602151570.6802967,58709000.0,207189901.56569582,11772000.0,25189473.460204676,58709000.0,112551192.90508547
529,1124,0,31183000.0,29089598.718601346,15926000.0,11604820.206236064,15257000.0,22768311.405738115,2456000.0,4887899.521972507,2151000.0,13026350.756508524,4607000.0,17330707.86436677,-2931000.0,-592414.5897583934,5387000.0,6818728.048342884,-2931000.0,-1930828.526370402
730,576,2,978523000.0,3193314933.7225785,851196000.0,1853808143.4466646,-94184000.0,830108086.5218916,24321000.0,28576876.02601619,137937000.0,275671561.54222506,162258000.0,263995609.387995,-764000.0,-70159021.10230169,25085000.0,92306738.82559252,-764000.0,-63729862.79957539
1590,10,2,27253000.0,-200856683.45923495,14465193.072010836,-94003094.36043358,12787806.927989164,-44114339.28681809,-17000.0,13480571.943218809,17493000.0,32586466.154351316,17476000.0,48015294.02911517,1196000.0,1286974.8975317124,138000.0,3530124.434022315,-155000.0,9950447.509196749
367,641,2,798398000.0,983052956.5602853,795372000.0,742273672.4725959,3026000.0,38021317.0033367,37121000.0,-44343471.73221481,256160000.0,158619402.36012667,293281000.0,122958192.18670793,10257000.0,-141279443.6794378,26864000.0,90596754.51834819,10257000.0,-134940226.2505632
636,48,0,1059052000.0,953780411.3504146,883921000.0,811838925.3266869,175131000.0,88008340.45017141,91945000.0,127278413.51117878,202788000.0,334274474.63740087,235132000.0,403320844.6846416,-287000.0,-18132409.262895953,84957000.0,121907419.72060204,6988000.0,5370993.7905760165
1270,290,3,11069000000.0,11991508757.283442,5919000000.0,6270718137.994192,5105000000.0,5935289057.373824,727000000.0,777695570.4953434,1752000000.0,1888062381.643059,2479000000.0,2633437242.2735815,462000000.0,570609559.8235008,265000000.0,201512119.27252066,462000000.0,576183451.2228224
102,167,1,12331000.0,176264024.9758156,10875000.0,133131798.69332293,1456000.0,71974607.86349893,1472000.0,-15719735.498195887,1968000.0,20375384.639890976,3440000.0,85215630.15401314,-4166000.0,-11642185.258499973,5638000.0,616269.7439813763,-4166000.0,-16336005.242177535
1658,1140,4,180372000.0,100384186.23925686,121221000.0,142997734.68556687,30642000.0,-21146907.019821286,18014000.0,26899682.5521924,31653000.0,36672720.996459216,49667000.0,64542111.23819436,-11599000.0,13839434.058086745,29613000.0,19511214.679504823,-11599000.0,7388467.872688085
6,1573,2,2319806000.0,2050144142.8707228,1534495000.0,1629112978.3746986,785311000.0,155823594.45861295,376397000.0,283196776.81957746,415254000.0,317796974.681596,791651000.0,619042707.1446557,93430000.0,32143876.990019687,288680000.0,248583754.30825153,87717000.0,34613022.51132551
1147,1457,3,19295025.0,7885524.170553923,28370931.0,17905887.912063062,-13369686.0,20788168.416736394,2067435.0,6779543.651371114,4847499.0,6479153.126124002,6914934.0,10119718.83203496,-1108124.0,1145534.4902217276,3175559.0,2692840.466384098,-1108124.0,4086703.1849875357
114,1091,3,3549408000.0,3578116354.3865585,2109262000.0,1639383178.2879663,1440146000.0,1703819158.700107,264579000.0,282420548.81676084,494402000.0,510994444.6967462,758981000.0,794011302.0182937,58594000.0,87788648.86096671,205985000.0,191814576.5377395,58594000.0,90605972.27902122
139,988,1,331401784.0,193589040.3146925,56254670.0,50357147.72464287,275147114.0,-66373564.716417074,17982150.0,-10316679.169752747,0.0,-27757039.104705222,17982150.0,-23326597.770929456,-40215832.0,-56926101.78524695,58197982.0,68630974.52789605,-40215832.0,-78947653.69764906
411,662,1,5533000.0,4471580.333291054,4648000.0,10426507.270630121,885000.0,28085825.252340794,-1669000.0,963735.981999144,2438000.0,-12775243.327834822,769000.0,-13488617.66565463,-6339000.0,-4830812.435300618,4670000.0,6558890.354851015,-6339000.0,-5595154.372852141
681,175,3,36550000000.0,38644551759.20321,16943241279.095451,17537038152.580612,15250000000.0,16629209378.268646,577000000.0,310592712.7034337,3467000000.0,2642877848.529689,4044000000.0,2873706224.2619705,714000000.0,394768565.4407327,627000000.0,620777716.5940585,-50000000.0,-310185003.89062685
1671,163,0,100449000.0,-70464593.49403548,141057000.0,74328201.07650548,-40608000.0,-159756860.2613263,-171000.0,-11393721.121615537,512000.0,-44264481.04587411,341000.0,-34907779.18863925,-48297000.0,-51725039.43725205,24344000.0,19729915.66423191,-24515000.0,-31123636.785847522
500,170,3,10599934.0,2710.6419875621796,26203416.0,20363609.03516966,-15603482.0,12348301.632236183,-6219.0,4521316.690806553,193120.0,2554171.3384634536,186901.0,6024120.865830585,-1076399.0,2511573.3742097393,1070180.0,-417615.746018976,-1076399.0,4938932.4368260335
1203,193,0,13322000.0,381366090.15009207,67881000.0,243504038.0164136,8277888.77383834,187649254.792728,3223000.0,-21081178.19347778,1889000.0,107046648.34145007,5112000.0,94369629.65782167,-3552000.0,-35148846.660206825,8664000.0,97614.84989976883,-5441000.0,-21178793.043377616
180,382,1,635001000.0,224108745.8189335,115305000.0,541996679.4787298,502273000.0,-354185146.9383671,21465000.0,-91565218.6773761,40457000.0,-182845604.76529545,61922000.0,-272891142.4587324,-143360000.0,-196046953.56179518,205282000.0,169537194.1134875,-183817000.0,-261102412.79086393
1960,1074,0,2672864000.0,2889251816.6465974,288913000.0,409592517.2039077,2383951000.0,2501013493.8230567,132902000.0,162632538.69241458,168499000.0,291367947.1629202,301401000.0,463115276.6932429,55706000.0,127378250.27070178,77196000.0,30779635.22368644,55706000.0,131852903.4687283
356,1599,3,8388335000.0,8877363346.20556,5163154000.0,5431195102.83079,3225181000.0,3571533440.520175,313343000.0,314580528.26795393,687959000.0,751562538.1454846,1001302000.0,1068583888.753927,116260000.0,148286753.11920077,85661000.0,53136951.52486803,227682000.0,261443576.74308574
1646,1068,1,1563399000.0,1689494411.0227811,1445358000.0,1315141060.858128,-136248000.0,312352057.47446805,72333000.0,144051566.51625776,116682000.0,300316283.0672421,189015000.0,436716526.3916674,23506000.0,42733950.35673009,11423000.0,34737036.51328335,60910000.0,109314530.00297424
1793,586,2,320019000.0,90834350.9857682,126984000.0,23401560.762005687,193035000.0,71495606.15588337,177377000.0,225097692.42858705,58492000.0,151823747.672161,235869000.0,377992651.5449337,25509000.0,35237535.21278891,151868000.0,191743379.052852,25509000.0,33354313.375735223
235,418,0,0.0,-2204641.5255458355,0.0,-2085572.3723640442,-804876.0,3475447.926422119,0.0,2814255.6185488403,0.0,13400044.968065225,0.0,15545537.198895767,-14550.0,1546375.6449798495,14550.0,2962536.233797677,-14550.0,-148280.6152488701
1668,345,3,267194000.0,360812430.38518524,175308000.0,265978384.16674718,91886000.0,114676257.43722166,5103000.0,7834083.444683496,0.0,-1589313.1199044473,5103000.0,3422653.585191041,-32762000.0,-27502577.886875898,37865000.0,29885354.126694474,-32762000.0,-22051270.6820105
1456,769,4,2249377000.0,2031259909.6411157,1923326000.0,1879849144.7934723,326519000.0,172818741.99968827,-76300000.0,-100568078.88175589,416103000.0,390794814.3379715,339803000.0,281118900.6024449,34941000.0,4343704.892076906,184914000.0,185115195.75413856,-261214000.0,-285683274.6358938
1291,32,1,396890000.0,309709274.99869746,107071000.0,-105136598.43815154,289819000.0,293886244.4430968,52569000.0,39511931.71107372,13634000.0,18768008.794899352,66203000.0,59434718.8868804,8375000.0,-20753679.686313763,57828000.0,66508957.08741078,-5259000.0,-26997025.376337327
1376,256,2,7827000.0,-48044677.68727076,4744000.0,-69824287.05332053,3083000.0,62623123.61573094,1288000.0,-922741.5676057264,867000.0,17235242.74405971,2155000.0,17641024.129028626,-3880000.0,-11222561.40446873,5168000.0,10411875.24513327,-3880000.0,-11334616.812738687
1702,1050,4,11990000.0,-60161317.80425656,3030000.0,-54534589.01701146,8960000.0,29104306.905000687,1480000.0,2352476.5770168826,3017000.0,6356219.804908589,4497000.0,6494702.135995239,-944000.0,-512082.12486171536,2424000.0,-2279200.6229606643,-944000.0,4631677.199978006
