Id,group_id,fold,actual_Q0_TOTAL_ASSETS,pred_Q0_TOTAL_ASSETS,actual_Q0_TOTAL_LIABILITIES,pred_Q0_TOTAL_LIABILITIES,actual_Q0_TOTAL_STOCKHOLDERS_EQUITY,pred_Q0_TOTAL_STOCKHOLDERS_EQUITY,actual_Q0_GROSS_PROFIT,pred_Q0_GROSS_PROFIT,actual_Q0_COST_OF_REVENUES,pred_Q0_COST_OF_REVENUES,actual_Q0_REVENUES,pred_Q0_REVENUES,actual_Q0_OPERATING_INCOME,pred_Q0_OPERATING_INCOME,actual_Q0_OPERATING_EXPENSES,pred_Q0_OPERATING_EXPENSES,actual_Q0_EBITDA,pred_Q0_EBITDA
196,1499,1,1192950000.0,1015203173.8891674,1055816000.0,932176091.2337406,137134000.0,149244957.1820935,25598000.0,43705932.61550259,61899000.0,51815478.926069975,42992000.0,56708501.51612987,15222000.0,25887198.91033937,10383000.0,24648745.995095614,15215000.0,13921529.617968712
1568,1145,4,1219954000.0,1332741291.6960511,835046000.0,1251100854.7282434,384908000.0,-512146881.986638,111786000.0,86551379.90837036,217796000.0,229445716.23187566,329582000.0,321446651.13304216,28908000.0,9125433.455289962,85522000.0,113428763.11603215,26264000.0,21193950.33389021
1218,856,0,-135820000000.0,50908591778.0147,-37972000000.0,16641068358.09745,-97848000000.0,28134026085.486374,-435000000.0,385019309.8390877,4445000000.0,7398391980.459794,4010000000.0,12726478481.541399,-1472000000.0,-138148474.18139598,219000000.0,499331687.36521006,-654000000.0,90299213.3574157
23,1337,2,83298000.0,1358253738.2044258,16040000.0,611668726.8748956,-31633000.0,139414873.6596024,494000.0,938125.6853003548,3339000.0,43139809.346017286,3833000.0,22363266.61906678,-12348000.0,-7084612.231058232,12842000.0,57783815.443280056,-12348000.0,-16141549.065618584
783,1345,4,148546000.0,188043764.56671566,56555000.0,188780283.77424225,91991000.0,109280028.4136031,1761000.0,73081346.88653626,-2375000.0,48529766.06083088,-614000.0,54968979.17167108,-10098000.0,26558501.72380682,11859000.0,21601463.122200705,-10098000.0,57116260.86893781
1251,1021,3,7304300000.0,8553001354.670956,2451900000.0,2634005557.039744,4830200000.0,4214714655.722002,578200000.0,566350276.1822746,581100000.0,566879530.0201002,1159300000.0,1115017962.833883,245200000.0,296795405.67079586,333000000.0,366502774.07952976,245200000.0,266358788.40206996
1224,234,4,1976905000.0,1535508548.3420782,699909000.0,704134524.8838432,1276996000.0,1113079208.9181066,53993000.0,93102979.72949249,315825000.0,356179555.1873329,369818000.0,396059253.4459433,-1572000.0,-14199040.106022136,371390000.0,443027590.23914963,-317397000.0,-352357590.7705859
1410,323,0,2097274000.0,2456884212.813457,1132234000.0,1209537807.0317438,965931000.0,863138454.1619995,70481000.0,122132815.61171784,291052000.0,383253691.21258444,361533000.0,470542828.298309,58709000.0,93674167.70205687,11772000.0,53159450.07857613,58709000.0,109347079.95107183
529,1124,0,31183000.0,456241903.84806645,15926000.0,438226375.8404298,15257000.0,15152677.463198464,2456000.0,2169721.456273545,2151000.0,108979693.00431716,4607000.0,41078111.18366662,-2931000.0,28174777.729675032,5387000.0,50809375.20690075,-2931000.0,-587496.7742187092
730,576,2,978523000.0,878875073.9762471,851196000.0,848227675.389364,-94184000.0,222533624.76402342,24321000.0,11547051.879484197,137937000.0,197652409.2276729,162258000.0,192971595.02782935,-764000.0,-53280099.895432815,25085000.0,124511043.4583475,-764000.0,-161397202.17933428
1590,10,2,27253000.0,-97938782.20043458,14465193.072010836,95790422.62180497,12787806.927989164,50579781.0817332,-17000.0,-2219665.421035587,17493000.0,56648896.57721036,17476000.0,58962676.26515379,1196000.0,6659637.094177473,138000.0,-82084368.29599221,-155000.0,2282871.5893331873
367,641,2,798398000.0,3496283713.7229977,795372000.0,2112543439.9034784,3026000.0,1461702145.1580262,37121000.0,29251187.16313953,256160000.0,368947788.75188786,293281000.0,385082276.88955283,10257000.0,-59914153.71903271,26864000.0,142703283.17892864,10257000.0,-100950544.8063104
636,48,0,1059052000.0,1524019818.7856214,883921000.0,1248585955.7494946,175131000.0,190088879.483506,91945000.0,93142355.77837308,202788000.0,300561597.3408099,235132000.0,265376877.1133975,-287000.0,22026770.565386824,84957000.0,134034925.051155,6988000.0,-22053729.937801518
1270,290,3,11069000000.0,10178967095.870132,5919000000.0,6164551650.008662,5105000000.0,4698564240.86317,727000000.0,728031008.3108484,1752000000.0,1654587197.1715505,2479000000.0,2260410158.586494,462000000.0,457486495.34157795,265000000.0,258729212.01699933,462000000.0,569317746.9260566
102,167,1,12331000.0,-152013368.53306168,10875000.0,-14244212.09107389,1456000.0,-57680425.90353015,1472000.0,8795636.265849061,1968000.0,3938654.6232977784,3440000.0,1962138.2210003263,-4166000.0,7504502.3379427,5638000.0,18539393.39573278,-4166000.0,5542257.274782054
1658,1140,4,180372000.0,175306787.55521372,121221000.0,218896508.41459128,30642000.0,55675614.68792354,18014000.0,19706560.826972347,31653000.0,73054035.9048399,49667000.0,93061727.61373793,-11599000.0,3738233.0905321445,29613000.0,18869083.337132055,-11599000.0,3394361.803178939
6,1573,2,2319806000.0,1767678336.1210477,1534495000.0,1207790622.5844343,785311000.0,812117161.4134017,376397000.0,312841997.5045646,415254000.0,347527171.04242903,791651000.0,615100033.3724989,93430000.0,80299311.69461997,288680000.0,296908768.7731623,87717000.0,83236281.00310317
1147,1457,3,19295025.0,396937493.30975395,28370931.0,430958114.2490185,-13369686.0,-25964794.41336309,2067435.0,50407996.86849923,4847499.0,37103388.422499254,6914934.0,57154559.94093978,-1108124.0,2974304.405508007,3175559.0,27647993.360997517,-1108124.0,1247452.2527533679
114,1091,3,3549408000.0,3600481374.400338,2109262000.0,2430600871.3922524,1440146000.0,1703854509.7794344,264579000.0,252562122.35402882,494402000.0,481579216.6298884,758981000.0,770031487.2584522,58594000.0,68194423.90152368,205985000.0,207444836.12579882,58594000.0,54225078.993176565
139,988,1,331401784.0,422045911.8921665,56254670.0,-361684844.8328359,275147114.0,303912618.0521686,17982150.0,21612325.398701366,0.0,6979559.158305124,17982150.0,18901833.28715932,-40215832.0,-15456380.587442037,58197982.0,67915832.69907697,-40215832.0,-27237148.999638222
411,662,1,5533000.0,131548781.94340307,4648000.0,-24922438.668447785,885000.0,-86964151.13761207,-1669000.0,9463327.888736153,2438000.0,-1658956.381177865,769000.0,-499118.6094689645,-6339000.0,7074172.938399489,4670000.0,19660432.307939313,-6339000.0,4380278.258815151
681,175,3,36550000000.0,37500349893.986046,16943241279.095451,14245815810.207224,15250000000.0,13059578169.036337,577000000.0,516328389.60175127,3467000000.0,2779133124.8989654,4044000000.0,2977730362.89233,714000000.0,300250293.2376107,627000000.0,1109588749.7711737,-50000000.0,235316272.08591485
1671,163,0,100449000.0,623059198.0289419,141057000.0,531641954.93304366,-40608000.0,-6173068.7902914025,-171000.0,60084.93729231311,512000.0,105579946.16237605,341000.0,48977117.13030995,-48297000.0,-186103.77442946238,24344000.0,66916594.27928867,-24515000.0,-9242854.092384867
500,170,3,10599934.0,407779491.10231674,26203416.0,426889233.6672322,-15603482.0,100192248.60617991,-6219.0,49559454.91302475,193120.0,33022410.08183713,186901.0,54541927.66818127,-1076399.0,3223833.912388652,1070180.0,26903494.718892615,-1076399.0,652205.1968146581
1203,193,0,13322000.0,407337638.60768664,67881000.0,423876998.82795477,8277888.77383834,134118259.75164607,3223000.0,1540947.8197457881,1889000.0,108979693.00431716,5112000.0,35442102.33753101,-3552000.0,27470174.204114262,8664000.0,53488214.79681681,-5441000.0,-25808297.099013224
180,382,1,635001000.0,869814434.2326,115305000.0,82607276.16994628,502273000.0,-1321634914.0830262,21465000.0,6904388.653485934,40457000.0,6038075.356363157,61922000.0,45369188.23596818,-143360000.0,-305972898.197014,205282000.0,254248386.63450748,-183817000.0,-298034655.3808162
1960,1074,0,2672864000.0,2661912789.5008235,288913000.0,754304326.7014724,2383951000.0,2284607164.3361187,132902000.0,113033313.39940825,168499000.0,290176323.87237096,301401000.0,299271360.81147575,55706000.0,102926371.09004399,77196000.0,114388654.55415107,55706000.0,71766269.1398434
356,1599,3,8388335000.0,8924686114.90067,5163154000.0,5150931349.700851,3225181000.0,3231988674.1454067,313343000.0,334625379.6203872,687959000.0,658274212.7006016,1001302000.0,1065812607.6419262,116260000.0,203011680.39728495,85661000.0,100001206.89274938,227682000.0,311610848.7981254
1646,1068,1,1563399000.0,1412614148.9525397,1445358000.0,1301990755.115573,-136248000.0,-19745807.74962369,72333000.0,79697295.49764921,116682000.0,105428415.43459445,189015000.0,189628157.50854817,23506000.0,37265050.8919319,11423000.0,28200896.110002052,60910000.0,62474079.71424007
1793,586,2,320019000.0,382313087.54115975,126984000.0,147404400.65257087,193035000.0,277397814.6768192,177377000.0,220645792.66563666,58492000.0,127201599.3624741,235869000.0,322572070.0641869,25509000.0,56415036.427098095,151868000.0,202618481.04079774,25509000.0,41688386.93182867
235,418,0,0.0,-990698236.5771893,0.0,-837481587.536363,-804876.0,-5205526.872877259,0.0,-526663.5117089242,0.0,108085071.98336092,0.0,26943302.140978843,-14550.0,29355201.092792913,14550.0,47507227.321000084,-14550.0,-20444063.87711438
1668,345,3,267194000.0,633086393.6468798,175308000.0,616788790.9412518,91886000.0,56210686.335374884,5103000.0,51900918.488341026,0.0,33726259.297585174,5103000.0,57578481.5862152,-32762000.0,-20507945.890388712,37865000.0,53252959.219796464,-32762000.0,-21258518.31252354
1456,769,4,2249377000.0,4146644646.9069304,1923326000.0,2344744404.528104,326519000.0,-1363946545.4037414,-76300000.0,-34354736.575912796,416103000.0,472990953.8148054,339803000.0,329131766.81093234,34941000.0,59549096.534394406,184914000.0,120161456.12524833,-261214000.0,-271027266.9213518
1291,32,1,396890000.0,487462118.5238593,107071000.0,156445976.50851342,289819000.0,305035724.27776927,52569000.0,55793140.03121549,13634000.0,11299738.377655458,66203000.0,68685281.18795848,8375000.0,7453577.9231601255,57828000.0,71501700.83772884,-5259000.0,-8840713.33875401
1376,256,2,7827000.0,22477560.558278386,4744000.0,9134239.490413329,3083000.0,38756556.22761528,1288000.0,1818548.3365308566,867000.0,42377610.08774452,2155000.0,23870533.36404281,-3880000.0,-5658281.941080676,5168000.0,9660351.08398509,-3880000.0,-5795536.1602311125
1702,1050,4,11990000.0,26664469.908280242,3030000.0,131360362.5652094,8960000.0,2178829.47387425,1480000.0,2233066.9297428965,3017000.0,49303424.4808817,4497000.0,53341373.08749668,-944000.0,1196504.507525136,2424000.0,5711124.959552552,-944000.0,2765159.837789414
1591,116,2,7472874.0,387499807.5147801,3243445.0,146980808.1114428,4067990.0,186447396.50378987,3065804.0,378607.6388531137,0.0,42121236.93269709,3065804.0,21753232.085502815,-21884.0,-1958245.8953455137,3087688.0,2768947.1765202377,-21884.0,-2476715.788927699
647,998,1,2182494000.0,1262623993.9115765,2467501000.0,2345548565.8042088,-484456000.0,-758097589.347831,389190000.0,397238681.0064309,141172000.0,77940169.40329082,531030000.0,453368697.6407123,-54175000.0,-48449453.437887974,443365000.0,384954145.1720471,-54175000.0,-32883806.136582587
100,324,4,12166000.0,30233601.693908956,2892000.0,131360362.5652094,9274000.0,-17364085.76608788,5000.0,1397627.3066641907,54000.0,47573511.723517545,59000.0,52528134.35760089,-3433000.0,-806963.5478783906,3433000.0,6278427.504624481,-3428000.0,877667.7231962938
507,554,4,189783000.0,39754177.88901749,45792000.0,149231684.70390403,143991000.0,104162370.24561583,2372000.0,3376998.504429425,0.0,46843854.25034686,2372000.0,53752457.770059235,-18270000.0,-20374185.30384984,20642000.0,29228572.275006633,-18270000.0,-19324580.141622584
547,509,4,1072653000.0,2488961638.8856535,455367000.0,1054381879.884743,617286000.0,1659580472.7418203,134998000.0,124102505.32761618,27783000.0,61868715.78192598,163452000.0,225146389.56072184,5489000.0,-7093528.420061791,129509000.0,131587462.54162815,5489000.0,352032.1294688071
457,1464,1,665104000.0,680028830.2807851,575531000.0,580231990.584272,89573000.0,96295431.42661956,30803000.0,33248752.03858346,19437000.0,20975756.64417502,50240000.0,44440324.999888435,10357000.0,7737546.855222975,22017000.0,38606543.80199792,8786000.0,7698480.087331326
560,1261,3,1900367000.0,5228811268.212688,289037000.0,2789228609.970106,1613343000.0,3964089528.1175294,45433000.0,233876727.72199675,413911000.0,509079712.4935187,459344000.0,658368274.0368828,-6757000.0,99490110.87529026,52246000.0,88370147.49157028,-6813000.0,112684768.0801644
1402,384,4,88944000.0,117599893.35351993,45361000.0,164630421.19359308,43583000.0,46456450.385322936,0.0,1683575.6604993767,45000.0,47065861.36630552,45000.0,53341373.08749668,-14351000.0,-9757852.026728792,14351000.0,18006753.765447043,-14351000.0,-7740838.7969321
1274,1350,4,5390785000.0,4561752456.367798,4083098000.0,4110603133.1497397,1050686000.0,1028337454.6222688,352054000.0,347497912.635662,284900000.0,370006256.4655039,636954000.0,699402022.884855,120850000.0,114201860.73077054,187232000.0,221670675.45631033,164822000.0,158173085.08362922
799,892,2,18535000.0,776381844.4296069,13748000.0,1615215459.2072368,4787000.0,51882350.77894969,2839000.0,-149137555.6547709,7502000.0,45174423.44554041,10341000.0,31397806.918658983,-2229000.0,-1695841.9452071928,3071000.0,157386218.6375316,-232000.0,-173697215.81739324
1436,1492,3,13281300000.0,12792346461.564598,5777300000.0,5663023685.587903,7484300000.0,6797417996.282964,1030700000.0,921262280.1062545,1150100000.0,1239783579.8288758,2180800000.0,2254832176.7043395,687000000.0,714828093.966538,343700000.0,383991347.5584894,687000000.0,633509910.5005207
1518,1341,3,108681735.0,367126855.38303345,9192190.0,429544218.1216064,67531550.37365061,134114111.34145051,2201326.0,49472745.30194091,255772.0,33830046.42050895,2457098.0,54007536.80385521,-8935951.0,-5991145.760535183,11137277.0,32452310.359663274,-8935951.0,-7705087.146451246
211,403,0,189692000.0,588809649.3426043,90178000.0,471449014.43061936,99514000.0,104516479.93988393,-4411000.0,2418961.9775141557,24963000.0,126804339.2395139,20552000.0,60963150.38209067,-10000000.0,29918312.861367553,5589000.0,52004889.502565235,-10000000.0,28275138.011166614
1542,1378,2,230878000.0,201395104.8068068,57278000.0,60033315.02905531,173600000.0,191281365.19607958,26973000.0,29756428.610432606,7041000.0,45462805.65616199,34014000.0,55971899.24583645,-11169000.0,-11091319.41007568,38142000.0,37394127.174979195,-11169000.0,-11527118.985333929
1496,1478,2,73773000.0,-370040498.3574694,50819000.0,-203537114.51194793,38847689.64492722,24325955.821861666,5428000.0,5410883.558493009,22481000.0,56458521.75604918,27909000.0,42249668.662389114,-1778000.0,-8308210.035067526,7206000.0,-4292242.777574528,-1778000.0,-7391022.231135283
1891,702,1,1582767000.0,1853273578.7269735,680421000.0,677917789.9370399,880211000.0,831260633.5789455,56683000.0,64898136.9298659,17637000.0,8750818.505459774,74320000.0,90152206.78163524,-5119000.0,-3844187.6460809163,35279000.0,57126562.09171372,21404000.0,27445502.617285065
362,1108,1,5641000.0,-21121847.924677856,5200000.0,-7524629.367837282,-3859000.0,121042396.3548439,1192000.0,7689824.596534486,781000.0,316892.8157324915,1973000.0,1824784.4347792221,-97000.0,9455609.296335265,2070000.0,18497004.49735722,-878000.0,5998301.766399922
605,1128,1,3208196000.0,3113413591.5250344,2133043000.0,-304665201.2822135,1075153000.0,2378850440.130582,625972000.0,600160962.6118708,1066275000.0,247014711.19742942,1692247000.0,958214471.6540135,91616000.0,120906040.60808575,497965000.0,282197334.6210137,128007000.0,142270706.32703704
384,67,1,13057000.0,-17423848.453592952,4943774.229094189,-83102095.07767537,10949000.0,-9722838.821480999,7944000.0,8240551.8378668325,0.0,2205144.7317160997,7944000.0,-210065.75006652268,1997000.0,8205158.945156997,5947000.0,21232012.631302536,1997000.0,4971652.634722685
438,863,1,5973000000.0,5385959558.213011,4408000000.0,3566097458.3519444,1554000000.0,1900061365.4595232,244000000.0,225123100.3220437,1526000000.0,1564152123.4104397,1770000000.0,1717363261.750381,147000000.0,92638503.11154108,127000000.0,107854427.41811346,117000000.0,97039977.09555991
1761,1201,3,589088000.0,888833048.9859719,253950000.0,658318619.8506452,335138000.0,319069251.5093517,19294000.0,69720960.81948715,99428000.0,123313195.02642643,118722000.0,157850212.65072227,9057000.0,13323462.457761886,10237000.0,35551843.58127246,9057000.0,12183387.731965521
403,1321,3,21286772.0,402432682.4120726,1383236.0,429544218.1216064,19903536.0,17658739.735126592,781782.0,49954165.01073822,421382.0,33688486.53366871,1203164.0,54757416.63076304,-1960898.0,2214609.525537238,2742680.0,27375494.151856977,-1960898.0,242909.0320858851
388,1465,0,3445920.0,836843668.9151211,1859560.0,822815973.3015536,1616914.0883314284,3625814.1528423787,2970901.0,2417848.8895089333,569508.0,108478324.3131431,805185.0,41152679.844393335,2437201.0,29506739.495808683,533700.0,48715550.03717018,2437201.0,-2207943.016397975
1452,1235,4,328158000.0,327266602.55648524,124250521.82515822,228727150.58027527,270486000.0,275184307.9179887,24944000.0,29115499.759504933,16521000.0,60626460.24555586,41465000.0,93159347.8647174,-7674000.0,-1315891.9348097115,24827000.0,25909243.11026474,117000.0,6676083.344742144
1876,600,3,2498305.0,353757593.0370165,2997402.0,429544218.1216064,-3454854.0,-3874091.8729558843,467340.0,49646964.83617511,346611.0,33688486.53366871,813951.0,54541927.66818127,-114631.0,4501393.938613998,581971.0,26903494.718892615,-114631.0,1169635.5408244128
757,967,2,1288046000.0,1276899071.4382398,649920845.9604261,661901936.5320415,889849000.0,852842419.5673221,105384000.0,101443248.24698158,285360000.0,292338922.63601696,390744000.0,371537741.61916065,53190000.0,37576407.674854785,52194000.0,50539690.82674069,53190000.0,42861602.21830717
660,231,2,600057000.0,561731340.8257971,369915000.0,341888428.3891265,225443000.0,242326601.33311522,43121000.0,44214883.79671267,106269000.0,138411487.2230436,149390000.0,140835112.15603474,7853000.0,6082322.822511158,30439000.0,29876113.40614082,12682000.0,6079791.8859726535
197,1227,2,538955000.0,1610899684.286578,291671000.0,377526271.397527,247284000.0,1723996318.5482788,-14193000.0,3413766.2934988905,14235000.0,54278541.253125176,42000.0,20916384.317179903,-51845000.0,-65907489.02735021,37652000.0,58974648.09182536,-51845000.0,-50927397.275011696
93,446,2,25334074.0,81839682.091798,18917048.0,80738174.87436023,5501613.0,49456931.82333888,-536032.0,565344.2243546536,4501393.0,45088190.28204007,3965361.0,24812998.116334368,-2975120.0,-2287869.4484275654,2439088.0,22912725.22225868,-2975120.0,-2133739.2015705863
472,459,4,1934400000.0,2120061638.6636572,855887268.5537325,1110608916.3908775,957200000.0,1101362730.929742,84000000.0,130771973.5076904,375600000.0,457575037.8124093,459600000.0,578051511.3808631,30800000.0,55170448.5394301,59000000.0,77214610.40786563,25000000.0,62092963.47656961
1345,1471,4,102973000.0,11312577.476923048,162948000.0,382079581.0213885,-346214000.0,554745008.360244,-13037000.0,2240836.5743454,25768000.0,52447310.99893847,12731000.0,62894998.13237072,-23219000.0,-9887276.30394807,35950000.0,25933714.21319912,-48987000.0,-22999283.337898277
1672,1007,2,2501300000.0,2348415585.059021,1075500000.0,1147836664.5454502,1407900000.0,1330913003.3776896,99600000.0,106354213.90086384,151100000.0,183534491.73482692,250700000.0,273680749.8768386,31900000.0,30939650.27944115,67700000.0,116286506.73944908,31900000.0,9301498.864322131
521,1060,4,27910000000.0,50740075686.415825,24392000000.0,32786106797.776863,14058781786.346067,23263910190.57076,1525000000.0,1005156045.5148145,6421000000.0,3423878269.2906933,7946000000.0,6411483539.792689,561000000.0,588228739.023436,638000000.0,944608767.5442288,887000000.0,4074472.2743564714
1143,781,2,105238000.0,105316026.2514563,42240000.0,23052108.240685616,62998000.0,100497026.85327451,8572000.0,2755589.3828486595,322000.0,42622147.92999591,8894000.0,29740180.778690316,2218000.0,1814000.8567516692,6354000.0,355798.0573463058,2218000.0,1783926.0255909637
502,145,3,2010176000.0,2130916075.6777213,889414829.379791,1208495227.2879553,1057656000.0,1012960539.9012203,113627000.0,153261203.24615827,250202000.0,271998592.8397132,363829000.0,413675339.9153074,44531000.0,51642768.81527027,69096000.0,90169642.5268402,44531000.0,50754336.77891368
319,979,0,15154000000.0,15999499758.25143,5534200000.0,5685598994.775399,9554000000.0,9957242591.121075,739300000.0,775673393.0268323,999600000.0,994412485.7573421,1738900000.0,1621520827.3185952,318400000.0,213000757.13835067,315200000.0,357168515.4566772,424100000.0,439181304.4021572
471,8,4,346507000.0,-1808136085.4614418,100361000.0,-384736785.6543979,246146000.0,197754671.97426495,14398000.0,10304587.896768436,62502000.0,108877193.56359152,72480000.0,115496101.17159368,4926000.0,2743533.2506443085,9472000.0,17730157.02035373,4926000.0,4417295.551058581
1756,1541,4,229309000.0,202145995.01878512,190264000.0,318287487.367596,-44269000.0,-26340898.99451052,9225000.0,12410581.418819927,52669000.0,129028162.07985508,61894000.0,129750144.33948524,1401000.0,4235850.478440547,7511000.0,8575338.981690219,1714000.0,6614215.24876907
848,860,4,101740000.0,115556177.57598308,28463000.0,146104152.82892153,50734000.0,48126043.594948046,29850000.0,27553289.107928723,12745000.0,59418960.82638179,40857000.0,90505800.80213565,2689000.0,4533445.834778857,27161000.0,26581391.552654054,2689000.0,2901237.7768510617
1310,236,2,9582645000.0,9598937952.958387,3280269000.0,2885790531.9840937,6302376000.0,5696704395.487263,376175000.0,100618314.1560164,424915000.0,518568927.16877264,801090000.0,762153568.4162582,272965000.0,93049066.73936616,103421000.0,119063018.43857425,272754000.0,67346677.82714789
202,276,2,609678000.0,554726530.0231643,288631252.1743736,275877264.1453389,366720000.0,354654445.67005825,84451000.0,79892519.80689287,21802000.0,58789797.987518035,106253000.0,121055626.27045146,5683000.0,4181470.412297856,78768000.0,85963402.28417021,5683000.0,-2236940.715353202
1444,1363,1,43441700000.0,31801540404.023777,21559314449.01792,15081600505.694187,21882385550.98208,23941388582.126724,1370000000.0,1232774679.1832244,587400000.0,-357134450.74430007,1957400000.0,1095572068.9026906,472000000.0,318853052.0559149,1485400000.0,1257607729.4661489,-115400000.0,-627200100.4371828
1578,181,2,1146353000.0,1187900257.9824774,752649000.0,719068038.2654042,393704000.0,425847290.0714948,95229000.0,93311740.87067771,32092000.0,75512363.49963216,127321000.0,156107118.11251116,-58245000.0,-72980223.74994878,153474000.0,167752027.447728,-58245000.0,-68656249.08523151
451,1540,0,796771.0,-742553486.2304523,1072746.0,-610204713.3761132,-275975.0,-3600415.852743316,205707.0,-576941.1390700528,158335.0,108085071.98336092,364042.0,41194043.093841136,-168127.0,29506739.495808683,373834.0,44290683.72263162,-168127.0,19099817.95760131
35,1028,1,9069035000.0,8338866800.809925,2563480000.0,3849637196.5659413,6505555000.0,6522181663.790791,942419000.0,760830620.8672616,522866000.0,826702735.4921781,1285548000.0,1374628801.928709,602695000.0,532498590.6612642,339724000.0,342114314.14582133,602695000.0,459637003.36989635
237,1408,2,48924605000.0,23826501217.97262,25766652000.0,-2440207118.5642767,22441501000.0,28347622994.90693,1560160000.0,1415707703.3862486,915531000.0,666002919.5542214,2475691000.0,1944724541.1540005,558196000.0,729397795.0736729,1001964000.0,468803228.2532747,558196000.0,761958059.7302657
917,458,0,514281000.0,769205908.1501758,309957000.0,592777342.106154,198004000.0,177608977.29834065,106985000.0,73055678.68695906,149052000.0,183028397.22006088,309744000.0,172699826.68594575,62399000.0,42716515.44679468,44586000.0,72000157.50671071,62399000.0,13056285.338318817
558,415,3,17876000000.0,4813705957.9340925,4077000000.0,4437074198.059383,13799000000.0,1655538399.440152,-917000000.0,-123010703.5144459,1453000000.0,963654591.9500202,536000000.0,175120819.83326957,-1774000000.0,-252026064.7066613,857000000.0,1730214214.1235902,-1774000000.0,-1582858737.380733
73,1395,0,218354000.0,640740927.4503527,62021000.0,446001560.1017943,156333000.0,175725537.10745916,-143000.0,1260806.3291955276,848000.0,108756593.9632514,705000.0,41344003.36580965,-31577000.0,6776946.938647889,40859000.0,71271300.67281304,-41002000.0,-17629106.053448144
532,1216,3,2268100000.0,2982419639.0268655,1627400000.0,1809371217.0549495,640700000.0,1091222879.7869518,78400000.0,102821251.56419545,665200000.0,705086249.8398496,743600000.0,851784897.6602653,19100000.0,-51563081.14100354,724500000.0,864203633.4856797,-646100000.0,-1189363660.251905
986,1129,0,49117000.0,461214799.6826969,7104000.0,391203814.01049995,42013000.0,53576300.67006833,1616000.0,2806533.989560038,3273000.0,109204835.2174443,4889000.0,41310689.4751655,-1489000.0,29396724.441813134,3105000.0,50026688.559801996,-1489000.0,1944725.6688884296
252,269,4,12822000.0,78558916.60960037,1624000.0,131360362.5652094,11198000.0,36223983.42460848,0.0,1600975.1698539318,0.0,46843854.25034686,0.0,53341373.08749668,-1983000.0,1034297.3444146465,1983000.0,7651506.819998256,-1983000.0,122983.43586352593
982,657,1,543788000.0,653279013.6468619,205894547.02387,211971548.50438616,402777000.0,379870713.6078901,1944000.0,31074097.48986365,0.0,1354566.460489504,1944000.0,20186302.992330372,-51279000.0,-37252213.921267085,53223000.0,95377142.40566057,-51279000.0,-31544951.908406455
1947,648,0,16965000000.0,16574602332.473003,7506269391.549871,7765670066.076587,7744800000.0,8258307991.310587,1329900000.0,196169364.57910207,1175700000.0,984948919.0586956,2505600000.0,2358072590.797118,1069200000.0,776247173.3878773,32700000.0,208145993.57766393,1297200000.0,824846745.607366
1206,510,3,29788000.0,413791763.5407904,27907000.0,439811642.4920398,1881000.0,45333211.98404384,0.0,50724177.50112158,3452000.0,34642128.83149676,3452000.0,54959684.76334204,-23801000.0,-9258218.298678456,23801000.0,43767882.03485362,-23801000.0,-12249841.199303808
542,1455,0,39315010.0,455487519.7749261,15768167.0,415991141.6287596,23791305.0,22933667.689853583,7600979.0,3694192.5178517275,41810204.0,137600127.97347572,49411183.0,63941427.4558133,-1588725.0,29506739.495808683,9189704.0,52386843.14540826,-1588725.0,-15676312.378209237
15,1272,2,184728000.0,208007405.43222103,40367000.0,48704713.30749404,144361000.0,167849176.74992862,0.0,572144.2307502069,8094000.0,44878894.172106095,8094000.0,26172588.47672521,-23114000.0,-36441340.444419906,23114000.0,33573484.12883656,-23114000.0,-32945791.998660646
1754,1527,3,5014090000.0,4849130774.842781,2606263000.0,2666894415.8038316,2407827000.0,2112517506.7039087,420690000.0,432994241.65142787,905430000.0,899986816.141814,1326120000.0,1330077124.8016381,237492000.0,186985574.6923961,183198000.0,190426553.24136528,237492000.0,196873735.44141427
1448,1438,2,3543460000.0,2857273824.216601,2602227000.0,2279761782.1159935,941233000.0,1689405056.1235523,443568000.0,425755097.28270674,134292000.0,227641420.26045477,414603000.0,349532523.3606615,14363000.0,-44371070.815703064,429205000.0,106118611.21218011,14363000.0,-96071472.78455307
459,682,1,747087000.0,772431038.3000126,79688000.0,120897963.42680506,667399000.0,576462749.0076978,34565000.0,39016120.75968697,22203000.0,18170360.015367676,57261000.0,45139971.03455997,-16306000.0,-15455859.723656707,50871000.0,68492918.20986705,-16306000.0,-13418322.01448455
