Id,group_id,fold,actual_Q0_TOTAL_ASSETS,pred_Q0_TOTAL_ASSETS,actual_Q0_TOTAL_LIABILITIES,pred_Q0_TOTAL_LIABILITIES,actual_Q0_TOTAL_STOCKHOLDERS_EQUITY,pred_Q0_TOTAL_STOCKHOLDERS_EQUITY,actual_Q0_GROSS_PROFIT,pred_Q0_GROSS_PROFIT,actual_Q0_COST_OF_REVENUES,pred_Q0_COST_OF_REVENUES,actual_Q0_REVENUES,pred_Q0_REVENUES,actual_Q0_OPERATING_INCOME,pred_Q0_OPERATING_INCOME,actual_Q0_OPERATING_EXPENSES,pred_Q0_OPERATING_EXPENSES,actual_Q0_EBITDA,pred_Q0_EBITDA
196,1499,1,1192950000.0,1905742570.6042275,1055816000.0,1307104139.6883702,137134000.0,1018969159.2898664,25598000.0,164871264.0736953,61899000.0,190484388.74415177,42992000.0,187720631.32544684,15222000.0,32663225.083627984,10383000.0,158421102.4040545,15215000.0,40483572.81303682
1568,1145,4,1219954000.0,1982484000.2976365,835046000.0,1164527290.8007948,384908000.0,601166485.9185574,111786000.0,187356059.4147034,217796000.0,300772857.21035886,329582000.0,439954202.18022954,28908000.0,20932718.462912396,85522000.0,131869285.14343405,26264000.0,56880396.239254564
1218,856,0,-135820000000.0,6357263010.4229965,-37972000000.0,8513169314.739221,-97848000000.0,2156751919.517179,-435000000.0,2470626523.4989657,4445000000.0,5664332753.637159,4010000000.0,8601292604.813467,-1472000000.0,392104663.049284,219000000.0,1277535337.6193216,-654000000.0,517075489.5594715
23,1337,2,83298000.0,873214135.030365,16040000.0,812059260.838666,-31633000.0,39715875.08914769,494000.0,34257960.36081934,3339000.0,20935843.08744681,3833000.0,30612185.1754179,-12348000.0,6539896.18635647,12842000.0,96309698.00112402,-12348000.0,21822207.860232104
783,1345,4,148546000.0,787760479.7657638,56555000.0,657003729.1665897,91991000.0,124724620.37750566,1761000.0,133940286.0432939,-2375000.0,29160220.380645394,-614000.0,46969272.401141286,-10098000.0,12578562.73578775,11859000.0,65599389.5109781,-10098000.0,35287711.37750032
1251,1021,3,7304300000.0,5796542420.411657,2451900000.0,3267169036.2299643,4830200000.0,2200251792.5795174,578200000.0,421486927.7160513,581100000.0,825621181.1975683,1159300000.0,1313596826.0824556,245200000.0,113450800.89492051,333000000.0,279469888.4730898,245200000.0,50740794.6201538
1224,234,4,1976905000.0,1703199326.7989573,699909000.0,1097283046.0843585,1276996000.0,729802202.5709189,53993000.0,208769677.25069195,315825000.0,196774905.33481467,369818000.0,259931364.78712678,-1572000.0,12528308.649931654,371390000.0,269639958.6833894,-317397000.0,29392849.88472461
1410,323,0,2097274000.0,5895831740.58803,1132234000.0,2387610682.142211,965931000.0,1936458363.8208077,70481000.0,243729954.10753012,291052000.0,320780024.1944747,361533000.0,490029205.330449,58709000.0,46455049.11419406,11772000.0,208063234.70926252,58709000.0,47025308.01946597
529,1124,0,31183000.0,5786853862.998477,15926000.0,1397758679.907124,15257000.0,1936458363.8208077,2456000.0,74313637.9095484,2151000.0,4191542.10294044,4607000.0,29660794.667770386,-2931000.0,18733198.74067253,5387000.0,104294342.33652753,-2931000.0,32957486.501014665
730,576,2,978523000.0,2315093660.4285507,851196000.0,1299468915.933688,-94184000.0,780439723.7609524,24321000.0,121601658.97720277,137937000.0,258802185.91740268,162258000.0,315387763.7152798,-764000.0,36376507.80044955,25085000.0,220371747.38792124,-764000.0,24624750.520253714
