Id,group_id,fold,actual_Q0_TOTAL_ASSETS,pred_Q0_TOTAL_ASSETS,actual_Q0_TOTAL_LIABILITIES,pred_Q0_TOTAL_LIABILITIES,actual_Q0_TOTAL_STOCKHOLDERS_EQUITY,pred_Q0_TOTAL_STOCKHOLDERS_EQUITY,actual_Q0_GROSS_PROFIT,pred_Q0_GROSS_PROFIT,actual_Q0_COST_OF_REVENUES,pred_Q0_COST_OF_REVENUES,actual_Q0_REVENUES,pred_Q0_REVENUES,actual_Q0_OPERATING_INCOME,pred_Q0_OPERATING_INCOME,actual_Q0_OPERATING_EXPENSES,pred_Q0_OPERATING_EXPENSES,actual_Q0_EBITDA,pred_Q0_EBITDA
196,314,4,1192950000.0,2724790508.224436,1055816000.0,1829359060.6938505,137134000.0,954098614.9716941,25598000.0,165458200.65016675,61899000.0,312588592.8715434,42992000.0,397581396.8252835,15222000.0,44684409.477639385,10383000.0,241612331.4782847,15215000.0,26496951.322838657
1568,1318,0,1219954000.0,3960661942.011156,835046000.0,1825130800.8674688,384908000.0,1897596009.1692772,111786000.0,266050312.30386215,217796000.0,326611935.07038635,329582000.0,518929005.1958295,28908000.0,62715631.60713309,85522000.0,249972489.57537857,26264000.0,75104753.63822399
1218,1523,0,-135820000000.0,10805834069.392897,-37972000000.0,10025885159.803993,-97848000000.0,2492440972.050427,-435000000.0,1940345672.566718,4445000000.0,4347407402.988975,4010000000.0,6565125370.147096,-1472000000.0,308674068.77694064,219000000.0,687176113.9848118,-654000000.0,60652334.05709701
23,1421,2,83298000.0,1490294814.7708755,16040000.0,1053850747.1112072,-31633000.0,444469095.996722,494000.0,121712316.63683999,3339000.0,161798054.20891756,3833000.0,225586881.86644316,-12348000.0,12811672.60843733,12842000.0,184483804.7688075,-12348000.0,51286556.8819212
783,1306,2,148546000.0,1454378072.1530323,56555000.0,1091586144.0782573,91991000.0,464730681.650475,1761000.0,145654096.1358924,-2375000.0,183435995.74201804,-614000.0,240285261.55124092,-10098000.0,9445514.612033308,11859000.0,174062666.42122963,-10098000.0,57510414.14438271
1251,1292,1,7304300000.0,6031614321.321864,2451900000.0,2583930120.1523128,4830200000.0,2565085587.7773123,578200000.0,426884902.7776154,581100000.0,682305428.6324486,1159300000.0,1261934314.9936674,245200000.0,85674850.1252016,333000000.0,290594000.4600482,245200000.0,61915861.32138746
1224,1572,2,1976905000.0,2503711003.701412,699909000.0,1845191976.2489426,1276996000.0,946577979.6022899,53993000.0,241782882.31524554,315825000.0,313943421.11059743,369818000.0,572001976.5781481,-1572000.0,33517514.99135802,371390000.0,210778299.02102816,-317397000.0,62721449.971186884
1410,638,0,2097274000.0,4700829764.66542,1132234000.0,2420323805.994092,965931000.0,1897596009.1692772,70481000.0,298899116.5244832,291052000.0,376062544.47157913,361533000.0,647171103.7088745,58709000.0,62499392.96260036,11772000.0,263712318.9244138,58709000.0,73624161.67808701
529,10,4,31183000.0,1550698054.1753063,15926000.0,990640281.7213001,15257000.0,442893172.6239127,2456000.0,131274866.85350576,2151000.0,159061446.54711592,4607000.0,228435160.27612877,-2931000.0,38795409.10116072,5387000.0,196780674.36024493,-2931000.0,28868430.164295167
730,598,0,978523000.0,3911019796.8574615,851196000.0,1810170892.9122293,-94184000.0,1910955820.802818,24321000.0,232170845.35496983,137937000.0,306821649.4901385,162258000.0,552040233.8602235,-764000.0,45463769.239812054,25085000.0,221098189.44377774,-764000.0,65806609.22248958
1590,740,3,27253000.0,1377995660.94483,14465193.072010836,1536923106.049837,12787806.927989164,413679379.4833602,-17000.0,148741368.4408757,17493000.0,157597758.595479,17476000.0,233724089.41074204,1196000.0,25127521.515350655,138000.0,110113100.49764073,-155000.0,72449831.88240537
367,140,3,798398000.0,2532575876.7561073,795372000.0,1785590038.5706465,3026000.0,906637677.5358329,37121000.0,233434511.59921527,256160000.0,275880498.0609568,293281000.0,401192337.72413194,10257000.0,45887757.13136939,26864000.0,160247508.82555485,10257000.0,80409360.0353615
636,741,2,1059052000.0,2294099341.524669,883921000.0,1512522417.3529942,175131000.0,769388748.6820374,91945000.0,205165918.7379626,202788000.0,289280203.33927566,235132000.0,458341410.87658703,-287000.0,37034782.669527926,84957000.0,214917348.38160202,6988000.0,62856435.837503165
1270,1352,1,11069000000.0,9586041675.110033,5919000000.0,3605251329.405883,5105000000.0,3840593873.3856845,727000000.0,535010188.4886626,1752000000.0,1040206218.7326922,2479000000.0,2106238669.8961473,462000000.0,198341840.36089408,265000000.0,300743614.8380156,462000000.0,64400081.50472942
102,263,0,12331000.0,3478146945.9954615,10875000.0,1045919577.3592358,1456000.0,1855012685.388737,1472000.0,145215764.75762188,1968000.0,171328510.00135094,3440000.0,289446300.7758771,-4166000.0,39594063.86591467,5638000.0,189989791.78967157,-4166000.0,56761484.717586815
