Id,group_id,fold,actual_Q0_TOTAL_ASSETS,pred_Q0_TOTAL_ASSETS,actual_Q0_TOTAL_LIABILITIES,pred_Q0_TOTAL_LIABILITIES,actual_Q0_TOTAL_STOCKHOLDERS_EQUITY,pred_Q0_TOTAL_STOCKHOLDERS_EQUITY,actual_Q0_GROSS_PROFIT,pred_Q0_GROSS_PROFIT,actual_Q0_COST_OF_REVENUES,pred_Q0_COST_OF_REVENUES,actual_Q0_REVENUES,pred_Q0_REVENUES,actual_Q0_OPERATING_INCOME,pred_Q0_OPERATING_INCOME,actual_Q0_OPERATING_EXPENSES,pred_Q0_OPERATING_EXPENSES,actual_Q0_EBITDA,pred_Q0_EBITDA
196,314,4,1192950000.0,2341006571.8763433,1055816000.0,1782014062.2754805,137134000.0,680580276.2092643,25598000.0,184459231.8180942,61899000.0,309954020.13119704,42992000.0,338773671.4850638,15222000.0,50059124.82338193,10383000.0,222779765.62975848,15215000.0,28642159.40018358
1568,1318,0,1219954000.0,4423747010.233393,835046000.0,1828711455.314144,384908000.0,1900737640.5912087,111786000.0,256318098.75420097,217796000.0,346536356.92447823,329582000.0,521023488.8484229,28908000.0,77856319.02076355,85522000.0,220875800.5956897,26264000.0,75774249.06294085
1218,1523,0,-135820000000.0,12171248985.532543,-37972000000.0,11786967071.73244,-97848000000.0,2194992075.8596334,-435000000.0,1629558225.6793954,4445000000.0,4414751571.156588,4010000000.0,6185304710.24505,-1472000000.0,366014493.34083843,219000000.0,655357247.2784152,-654000000.0,67418063.9613341
23,1421,2,83298000.0,1434875518.3110023,16040000.0,1053110048.1928768,-31633000.0,377764962.73224044,494000.0,129466511.75091797,3339000.0,146205609.98341054,3833000.0,239393381.40476406,-12348000.0,9935194.59561111,12842000.0,168621598.25901484,-12348000.0,55391442.778201014
783,1306,2,148546000.0,1633123744.7575116,56555000.0,1145777910.0104413,91991000.0,390545085.2904717,1761000.0,146781426.96655214,-2375000.0,171063665.61951566,-614000.0,257253984.42458785,-10098000.0,12471852.175372168,11859000.0,176216203.332233,-10098000.0,56030157.343556955
1251,1292,1,7304300000.0,5279256263.898103,2451900000.0,2772067127.285979,4830200000.0,2550325951.360821,578200000.0,392930573.48007333,581100000.0,651443636.0151477,1159300000.0,1158084014.4490001,245200000.0,167162848.99795896,333000000.0,308631863.52299976,245200000.0,70065040.6929947
1224,1572,2,1976905000.0,2638398908.958355,699909000.0,1794468058.0397243,1276996000.0,811841918.2323794,53993000.0,240875552.5016479,315825000.0,368175028.27810466,369818000.0,548535032.6139574,-1572000.0,45664833.1305442,371390000.0,231708417.7284943,-317397000.0,61293680.64716255
1410,638,0,2097274000.0,4526831369.654142,1132234000.0,2748414813.191394,965931000.0,1900737640.5912087,70481000.0,324499615.2974187,291052000.0,438050427.81702596,361533000.0,580910492.4435,58709000.0,69401297.70133151,11772000.0,258850994.93205836,58709000.0,74049289.9452494
529,10,4,31183000.0,1576724620.255118,15926000.0,1177488281.9708688,15257000.0,432334850.73078287,2456000.0,137241287.43867397,2151000.0,175519995.41303766,4607000.0,223706582.27510095,-2931000.0,28197363.921411365,5387000.0,179689155.6027633,-2931000.0,30339179.55930894
730,598,0,978523000.0,4144741085.0039644,851196000.0,1491866811.5639842,-94184000.0,1900737640.5912087,24321000.0,205306294.29853672,137937000.0,243027056.51889813,162258000.0,460388085.57249284,-764000.0,33149704.72395584,25085000.0,232140779.11684656,-764000.0,66761504.352955565
1590,740,3,27253000.0,1597174319.7715478,14465193.072010836,1171803285.1736045,12787806.927989164,437719636.49402213,-17000.0,124148234.3166399,17493000.0,138061548.2376827,17476000.0,252829233.76345897,1196000.0,17901169.94519013,138000.0,123906652.84378687,-155000.0,98511996.54332371
367,140,3,798398000.0,2192714458.8534145,795372000.0,1434630797.8944314,3026000.0,890297019.0593728,37121000.0,210437443.1578928,256160000.0,318166042.13239026,293281000.0,451143167.13050246,10257000.0,33280744.095050856,26864000.0,164679644.98446807,10257000.0,98511996.54332371
636,741,2,1059052000.0,2432890721.5529475,883921000.0,1815894335.4019182,175131000.0,915253537.7655677,91945000.0,246783002.41181508,202788000.0,342531607.8927808,235132000.0,490197237.3728548,-287000.0,44013212.37306682,84957000.0,205458288.91939884,6988000.0,58830585.78777021
1270,1352,1,11069000000.0,6959481605.422903,5919000000.0,3217250480.2718635,5105000000.0,3065417665.5297785,727000000.0,445649334.8397294,1752000000.0,982020125.400368,2479000000.0,1742300454.473296,462000000.0,189692758.222646,265000000.0,292552500.7070657,462000000.0,69940245.85437156
102,263,0,12331000.0,3664437795.716303,10875000.0,883857902.2511659,1456000.0,1876015074.0246158,1472000.0,113974012.75702363,1968000.0,137376649.3452208,3440000.0,263594173.9782163,-4166000.0,31812873.846098274,5638000.0,147666155.36476198,-4166000.0,62512799.73640056
1658,1092,1,180372000.0,1880690941.1037583,121221000.0,1544041131.6765416,30642000.0,446386382.21636057,18014000.0,178362998.45147297,31653000.0,195674119.90631288,49667000.0,292262512.03039837,-11599000.0,44219948.52104005,29613000.0,222797908.4667829,-11599000.0,61897568.36911226
6,33,0,2319806000.0,4854307192.323834,1534495000.0,2773472582.3578343,785311000.0,1900737640.5912087,376397000.0,374294304.1912037,415254000.0,528522109.79224473,791651000.0,824193253.4793556,93430000.0,89759198.15516992,288680000.0,262384876.70608813,87717000.0,76055434.58322203
1147,1055,3,19295025.0,1377874508.2636309,28370931.0,1069330207.4369581,-13369686.0,406006548.07320464,2067435.0,112334204.16666394,4847499.0,120543949.42997652,6914934.0,233636209.11974728,-1108124.0,17579357.186090082,3175559.0,119813471.35876966,-1108124.0,99507152.29172762
114,1011,2,3549408000.0,3710360251.969091,2109262000.0,2209921161.4077835,1440146000.0,1299967436.0280128,264579000.0,345430375.25313425,494402000.0,496864639.6992501,758981000.0,725515424.5517014,58594000.0,70171174.05084354,205985000.0,284831017.4444355,58594000.0,62146999.2356452
139,1334,4,331401784.0,1749342714.7158437,56254670.0,1345370025.1092794,275147114.0,487783475.7967248,17982150.0,151400647.38611838,0.0,177828784.8729372,17982150.0,245973977.97373033,-40215832.0,23211672.026652724,58197982.0,222813558.387723,-40215832.0,27365976.9005867
411,814,4,5533000.0,1551940392.830875,4648000.0,1104089614.6060686,885000.0,432334850.73078287,-1669000.0,128182524.32394126,2438000.0,167681496.60183614,769000.0,213953976.2712127,-6339000.0,23611734.283015355,4670000.0,195101151.57285583,-6339000.0,23843173.350789722
681,761,2,36550000000.0,24335766113.617695,16943241279.095451,10737343293.026909,15250000000.0,8164802165.293999,577000000.0,633178301.2835834,3467000000.0,1521699904.896561,4044000000.0,3148553043.524913,714000000.0,281966989.2403446,627000000.0,415047269.9600898,-50000000.0,60847724.07591333
1671,696,2,100449000.0,1570377254.3356452,141057000.0,1130900749.5317874,-40608000.0,402886068.5851289,-171000.0,143998736.1738963,512000.0,188921894.92231447,341000.0,273182844.77437127,-48297000.0,10416456.499919057,24344000.0,198835471.00240168,-24515000.0,57226207.59703237
500,1236,2,10599934.0,1382240607.5326571,26203416.0,973986495.7445669,-15603482.0,317875786.41858995,-6219.0,114736319.74540919,193120.0,129374351.62248915,186901.0,205154293.6104697,-1076399.0,11069925.225848988,1070180.0,157350399.73568976,-1076399.0,55391442.778201014
1203,449,4,13322000.0,1701462229.659184,67881000.0,1257753130.2441823,8277888.77383834,548064642.0643066,3223000.0,141382115.58709562,1889000.0,197152594.68245596,5112000.0,249434118.29995704,-3552000.0,30424600.266395047,8664000.0,248665296.61917314,-5441000.0,26381839.722488362
180,11,3,635001000.0,2615928219.6502914,115305000.0,1711202093.3032131,502273000.0,996417248.4194994,21465000.0,220614435.68514833,40457000.0,259595504.05226856,61922000.0,415399694.9771584,-143360000.0,14039003.080945387,205282000.0,192362185.3253147,-183817000.0,100607541.44827299
1960,1026,2,2672864000.0,3508608495.3480835,288913000.0,2450722337.0941806,2383951000.0,1483345682.3358665,132902000.0,317495699.8428592,168499000.0,440027485.3163948,301401000.0,697594405.3796597,55706000.0,58001849.52548311,77196000.0,235311626.69055092,55706000.0,63798379.8593258
356,863,0,8388335000.0,5701037680.241822,5163154000.0,3491118854.486141,3225181000.0,1900737640.5912087,313343000.0,475279661.4100141,687959000.0,610456894.2536075,1001302000.0,1106431549.0684865,116260000.0,108529776.21641429,85661000.0,300312318.7321168,227682000.0,76055434.58322203
1646,1578,1,1563399000.0,2449334364.7932687,1445358000.0,2002645751.799543,-136248000.0,838739145.9968367,72333000.0,236554190.15287086,116682000.0,301755705.95439875,189015000.0,483809458.64860237,23506000.0,50004448.80896324,11423000.0,248440383.86473894,60910000.0,65971854.65457535
1793,1064,4,320019000.0,2807227105.1742125,126984000.0,1730057527.1120589,193035000.0,996391844.1047596,177377000.0,247921029.42011374,58492000.0,265024483.2842716,235869000.0,447722767.08201027,25509000.0,64289442.75975378,151868000.0,273722616.14345515,25509000.0,30359714.968099132
235,94,4,0.0,1507265942.5572839,0.0,997270997.1696217,-804876.0,432028827.2600225,0.0,133144201.7933076,0.0,150903358.51287526,0.0,209460699.79446435,-14550.0,21543854.64558152,14550.0,157867187.39283526,-14550.0,17637367.435158394
