Id,group_id,fold,actual_Q0_TOTAL_ASSETS,pred_Q0_TOTAL_ASSETS,actual_Q0_TOTAL_LIABILITIES,pred_Q0_TOTAL_LIABILITIES,actual_Q0_TOTAL_STOCKHOLDERS_EQUITY,pred_Q0_TOTAL_STOCKHOLDERS_EQUITY,actual_Q0_GROSS_PROFIT,pred_Q0_GROSS_PROFIT,actual_Q0_COST_OF_REVENUES,pred_Q0_COST_OF_REVENUES,actual_Q0_REVENUES,pred_Q0_REVENUES,actual_Q0_OPERATING_INCOME,pred_Q0_OPERATING_INCOME,actual_Q0_OPERATING_EXPENSES,pred_Q0_OPERATING_EXPENSES,actual_Q0_EBITDA,pred_Q0_EBITDA
196,314,4,1192950000.0,934745356.6543264,1055816000.0,1020391229.6236801,137134000.0,-51943293.60958423,25598000.0,33059362.64404001,61899000.0,61676738.892923854,42992000.0,33897659.11897063,15222000.0,23322879.971600275,10383000.0,10381000.302487452,15215000.0,20977017.373600915
1568,1318,0,1219954000.0,1412052821.2603986,835046000.0,1032256301.099285,384908000.0,295233529.48495144,111786000.0,102059357.62132359,217796000.0,213612934.73364654,329582000.0,307057939.6950926,28908000.0,8508704.204938423,85522000.0,88321579.18742386,26264000.0,17352047.266723547
1218,1523,0,-135820000000.0,58220566846.22142,-37972000000.0,11803199348.488888,-97848000000.0,47449741663.001686,-435000000.0,-662221527.1926987,4445000000.0,5592521449.487295,4010000000.0,6333215895.714924,-1472000000.0,-1319871757.513713,219000000.0,354900312.1277011,-654000000.0,-258483489.5687066
23,1421,2,83298000.0,-1070649389.4986632,16040000.0,-402100556.5600811,-31633000.0,-1024583129.4974259,494000.0,16629676.695879143,3339000.0,2982575.000991428,3833000.0,4741280.159301709,-12348000.0,-9226823.446665455,12842000.0,19481604.285990275,-12348000.0,-14691409.058382016
783,1306,2,148546000.0,-965338740.1277986,56555000.0,-328520289.3753005,91991000.0,-997312508.1434321,1761000.0,147649676.69587913,-2375000.0,-117050526.36896817,-614000.0,2009347.3029728679,-10098000.0,83415376.55333452,11859000.0,20147104.285990275,-10098000.0,89902687.76517859
1251,1292,1,7304300000.0,5711747426.587591,2451900000.0,2218981802.9363556,4830200000.0,3605978866.2833786,578200000.0,615364523.6307039,581100000.0,588868100.0764642,1159300000.0,1179663050.7660067,245200000.0,272613791.7293942,333000000.0,328675620.79827636,245200000.0,272328088.6189489
1224,1572,2,1976905000.0,811378881.0265125,699909000.0,168547710.62469947,1276996000.0,242702291.85656786,53993000.0,94669406.93420675,315825000.0,318087457.49125063,369818000.0,394371200.8428501,-1572000.0,19226326.553334534,371390000.0,373562304.2859903,-317397000.0,-297685309.33762676
1410,638,0,2097274000.0,2269356581.598914,1132234000.0,1330181313.0321083,965931000.0,940978239.3604199,70481000.0,174255357.6213236,291052000.0,296512145.0781973,361533000.0,456722463.027508,58709000.0,118661204.20493841,11772000.0,15320629.187423848,58709000.0,134515470.7361911
529,10,4,31183000.0,-250565161.35241795,15926000.0,-68549418.7359584,15257000.0,-170292881.84713912,2456000.0,7569908.210209351,2151000.0,64713.341794490814,4607000.0,-6148993.2946454305,-2931000.0,-2229120.0283997175,5387000.0,7357836.587820567,-2931000.0,-3336579.875953567
730,598,0,978523000.0,1262081741.6522045,851196000.0,928147021.110732,-94184000.0,132021673.05660488,24321000.0,30399357.621323586,137937000.0,155570661.05436853,162258000.0,167997923.88143232,-764000.0,-13563438.06993677,25085000.0,37516379.18742385,-764000.0,-13380466.754514014
1590,740,3,27253000.0,-790767216.0547159,14465193.072010836,-411008100.6621157,12787806.927989164,-450146530.9466336,-17000.0,8583771.6193141,17493000.0,24415529.186002266,17476000.0,25378686.066518165,1196000.0,3066939.266628554,138000.0,2174591.859768511,-155000.0,1641352.064282652
367,140,3,798398000.0,37680770.74941075,795372000.0,384720375.98328805,3026000.0,-415013343.6263198,37121000.0,47816123.51971301,256160000.0,356653174.9225457,293281000.0,391903323.7864476,10257000.0,-5803160.733371437,26864000.0,36197241.85976851,10257000.0,-4294397.935717359
636,741,2,1059052000.0,301412093.197,883921000.0,390961847.9412337,175131000.0,-626188121.0793915,91945000.0,122596676.69587915,202788000.0,233049221.2050172,235132000.0,273330447.30297285,-287000.0,6668726.553334557,84957000.0,102995914.40166646,6988000.0,6398471.420132786
1270,1352,1,11069000000.0,9712494772.543633,5919000000.0,5805119583.287268,5105000000.0,3934809673.8179703,727000000.0,763763673.582478,1752000000.0,1817406789.5740788,2479000000.0,2557055753.0980635,462000000.0,507388791.72939426,265000000.0,232347476.52214068,462000000.0,500239783.66456336
102,263,0,12331000.0,300002516.62097627,10875000.0,39882127.67649071,1456000.0,-68110851.28409576,1472000.0,6186357.6213235855,1968000.0,32356712.930925105,3440000.0,89255492.78877346,-4166000.0,2401261.093664458,5638000.0,4181200.937423848,-4166000.0,2924280.395486016
1658,1092,1,180372000.0,-916418331.2656262,121221000.0,-165408096.53185683,30642000.0,-798622229.6965766,18014000.0,27254909.87524496,31653000.0,30249146.89957355,49667000.0,45659066.52723458,-11599000.0,4320191.729394264,29613000.0,18240462.093263604,-11599000.0,2734140.8814168097
6,33,0,2319806000.0,2704841288.167714,1534495000.0,1916357401.9287825,785311000.0,842920246.6669564,376397000.0,298032397.1621235,415254000.0,332656663.4722718,791651000.0,631782385.5760204,93430000.0,48756154.20493841,288680000.0,265793879.18742386,87717000.0,42963684.316695616
1147,1055,3,19295025.0,-803290623.8884091,28370931.0,-399210006.7812103,-13369686.0,-478655824.83934546,2067435.0,11192192.971579045,4847499.0,5104462.4942264985,6914934.0,6269075.561887055,-1108124.0,788686.4166285549,3175559.0,5071679.936015298,-1108124.0,-1947480.7857173646
114,1011,2,3549408000.0,2103412406.7695017,2109262000.0,1516819413.083432,1440146000.0,-125566616.06663597,264579000.0,250865244.17482963,494402000.0,487796423.37482464,758981000.0,721947447.3029729,58594000.0,94547326.55333452,205985000.0,195082714.40166646,58594000.0,70300963.95746174
139,1334,4,331401784.0,51057647.017091036,56254670.0,-48247454.71464187,275147114.0,128009382.52523571,17982150.0,29326480.570652165,0.0,-467989.0986900142,17982150.0,14708400.348259134,-40215832.0,-28648328.828399703,58197982.0,53035197.19220458,-40215832.0,-33537359.02595356
411,814,4,5533000.0,-296527467.9234543,4648000.0,-85515591.6435892,885000.0,-190983510.0315324,-1669000.0,5025974.191390686,2438000.0,-915461.3284097097,769000.0,-11355970.612149727,-6339000.0,-2908620.0283997194,4670000.0,6300144.6749682035,-6339000.0,-3921579.875953568
681,761,2,36550000000.0,32200605988.914543,16943241279.095451,14950474972.490654,15250000000.0,13394177624.18612,577000000.0,554700406.9342067,3467000000.0,3196461500.370671,4044000000.0,3725810800.84285,714000000.0,488366126.5533343,627000000.0,685713014.4016664,-50000000.0,-161224440.02020827
1671,696,2,100449000.0,-805255778.6048906,141057000.0,-304181152.0587663,-40608000.0,-930679921.0793916,-171000.0,17131406.934206754,512000.0,1149336.6383224728,341000.0,2480180.1593017094,-48297000.0,-45822673.44666544,24344000.0,28536254.285990275,-24515000.0,-24423562.517037638
500,1236,2,10599934.0,-1062057757.776528,26203416.0,-406444898.16267097,-15603482.0,-1044297527.1093659,-6219.0,16004042.898572193,193120.0,996590.9958818621,186901.0,2209756.0593017093,-1076399.0,4771891.253334542,1070180.0,4928890.985990277,-1076399.0,12566.596976480098
1203,449,4,13322000.0,-297473826.18002915,67881000.0,-5177828.866805255,8277888.77383834,-274177016.00238335,3223000.0,4530338.069093896,1889000.0,565961.7501388025,5112000.0,-8562751.078890804,-3552000.0,-4901770.028399723,8664000.0,12510591.681410361,-5441000.0,-8526129.87595357
180,11,3,635001000.0,424239991.2121736,115305000.0,-296941820.39425087,502273000.0,486569171.7779045,21465000.0,33159123.519713007,40457000.0,38096748.00344608,61922000.0,61119841.59687789,-143360000.0,-167359160.73337132,205282000.0,171720841.8597685,-183817000.0,-178427147.93571737
1960,1026,2,2672864000.0,1944703462.7319403,288913000.0,-41593289.37530053,2383951000.0,1494935791.8565679,132902000.0,163886676.69587913,168499000.0,195371869.57885042,301401000.0,342306947.30297285,55706000.0,79574826.55333456,77196000.0,76630314.40166646,55706000.0,73437932.98348898
356,863,0,8388335000.0,8870485825.090307,5163154000.0,5746681208.119629,3225181000.0,3183442639.347945,313343000.0,336140397.1621235,687959000.0,736848279.8227153,1001302000.0,1068009973.3465849,116260000.0,136192179.78758022,85661000.0,93797829.18742386,227682000.0,242683649.72742894
1646,1578,1,1563399000.0,247671489.47607803,1445358000.0,933330347.9194324,-136248000.0,-376777489.27214164,72333000.0,77271699.82794784,116682000.0,115373686.41904373,189015000.0,177945750.76600662,23506000.0,20897891.729394253,11423000.0,13998504.381742394,60910000.0,56515116.87474565
