Id,group_id,outer_fold,actual_Q0_TOTAL_ASSETS,pred_Q0_TOTAL_ASSETS,postprocessed_pred_Q0_TOTAL_ASSETS,actual_Q0_TOTAL_LIABILITIES,pred_Q0_TOTAL_LIABILITIES,postprocessed_pred_Q0_TOTAL_LIABILITIES,actual_Q0_TOTAL_STOCKHOLDERS_EQUITY,pred_Q0_TOTAL_STOCKHOLDERS_EQUITY,postprocessed_pred_Q0_TOTAL_STOCKHOLDERS_EQUITY,actual_Q0_GROSS_PROFIT,pred_Q0_GROSS_PROFIT,postprocessed_pred_Q0_GROSS_PROFIT,actual_Q0_COST_OF_REVENUES,pred_Q0_COST_OF_REVENUES,postprocessed_pred_Q0_COST_OF_REVENUES,actual_Q0_REVENUES,pred_Q0_REVENUES,postprocessed_pred_Q0_REVENUES,actual_Q0_OPERATING_INCOME,pred_Q0_OPERATING_INCOME,postprocessed_pred_Q0_OPERATING_INCOME,actual_Q0_OPERATING_EXPENSES,pred_Q0_OPERATING_EXPENSES,postprocessed_pred_Q0_OPERATING_EXPENSES,actual_Q0_EBITDA,pred_Q0_EBITDA,postprocessed_pred_Q0_EBITDA
196,314,4,1192950000.0,1361267369.337386,1361267369.337386,1055816000.0,1028233113.0031283,1028233113.0031283,137134000.0,539078434.1309543,539078434.1309543,25598000.0,27712000.0,27712000.0,61899000.0,55658405.103598416,55658405.103598416,42992000.0,50358009.83219076,50358009.83219076,15222000.0,21713279.540079273,21713279.540079273,10383000.0,16369434.8981596,16369434.8981596,15215000.0,19919449.999999996,19919449.999999996
1568,1318,0,1219954000.0,1412052821.2603986,1412052821.2603986,835046000.0,1032256301.099285,1032256301.099285,384908000.0,325478904.26197976,325478904.26197976,111786000.0,103038427.87271583,103038427.87271583,217796000.0,207014991.38150734,207014991.38150734,329582000.0,307642053.110857,307642053.110857,28908000.0,7527581.297621345,7527581.297621345,85522000.0,91581023.93881671,91581023.93881671,26264000.0,16252388.387386836,16252388.387386836
1218,1523,0,-135820000000.0,58220566846.22142,58220566846.22142,-37972000000.0,11803199348.488888,11803199348.488888,-97848000000.0,46060622879.419624,46060622879.419624,-435000000.0,804830531.2866385,804830531.2866385,4445000000.0,9026144155.683832,9026144155.683832,4010000000.0,11623817408.921448,11623817408.921448,-1472000000.0,-178095270.1780637,-178095270.1780637,219000000.0,245382179.6943187,245382179.6943187,-654000000.0,1283856902.0953639,1283856902.0953639
23,1421,2,83298000.0,525986809.71876943,525986809.71876943,16040000.0,-23765851.405616082,-23765851.405616082,-31633000.0,445765919.85122466,445765919.85122466,494000.0,9190912.384218816,9190912.384218816,3339000.0,-3757834.400172392,-3757834.400172392,3833000.0,18920775.98292372,18920775.98292372,-12348000.0,-11735960.298223233,-11735960.298223233,12842000.0,22302093.027101144,22302093.027101144,-12348000.0,-15695626.736300908,-15695626.736300908
783,1306,2,148546000.0,649615283.5812849,649615283.5812849,56555000.0,94254807.83866614,94254807.83866614,91991000.0,673834411.8200842,673834411.8200842,1761000.0,140661302.95507595,140661302.95507595,-2375000.0,-120677665.08429712,-120677665.08429712,-614000.0,16078812.735276813,16078812.735276813,-10098000.0,75933647.16326031,75933647.16326031,11859000.0,22771518.578030474,22771518.578030474,-10098000.0,88996027.5149238,88996027.5149238
1251,1292,1,7304300000.0,6371693406.7829,6371693406.7829,2451900000.0,2615901052.3482685,2615901052.3482685,4830200000.0,2154996565.9923935,2154996565.9923935,578200000.0,613423985.2219391,613423985.2219391,581100000.0,592382056.6108981,592382056.6108981,1159300000.0,1217478788.3476455,1217478788.3476455,245200000.0,268814529.6346885,268814529.6346885,333000000.0,329385241.8942298,329385241.8942298,245200000.0,271744999.99999994,271744999.99999994
1224,1572,2,1976905000.0,1872277778.3855796,1872277778.3855796,699909000.0,622512493.3615273,622512493.3615273,1276996000.0,997236242.4604403,997236242.4604403,53993000.0,89345892.11926201,89345892.11926201,315825000.0,314421884.91150784,314421884.91150784,369818000.0,416369219.30411315,416369219.30411315,-1572000.0,16152928.459074717,16152928.459074717,371390000.0,376984056.7947267,376984056.7947267,-317397000.0,-299452923.75338995,-299452923.75338995
1410,638,0,2097274000.0,2269356581.598914,2269356581.598914,1132234000.0,1330181313.0321083,1330181313.0321083,965931000.0,934177701.3544207,934177701.3544207,70481000.0,163506734.43069643,163506734.43069643,291052000.0,263548156.10755873,263548156.10755873,361533000.0,413926340.23260623,413926340.23260623,58709000.0,105923200.54771031,105923200.54771031,11772000.0,18803879.8664009,18803879.8664009,58709000.0,120857317.57203826,120857317.57203826
529,10,4,31183000.0,274357665.46527004,274357665.46527004,15926000.0,-55868140.586608276,-55868140.586608276,15257000.0,283005444.5244359,283005444.5244359,2456000.0,2254000.0,2254000.0,2151000.0,-3949921.611302875,-3949921.611302875,4607000.0,10698802.740133023,10698802.740133023,-2931000.0,-4759621.123429127,-4759621.123429127,5387000.0,13363074.155346606,13363074.155346606,-2931000.0,-4277099.999999999,-4277099.999999999
730,598,0,978523000.0,1262081741.6522045,1262081741.6522045,851196000.0,928147021.110732,928147021.110732,-94184000.0,144797844.2188219,144797844.2188219,24321000.0,16861139.227527477,16861139.227527477,137937000.0,173536694.17463556,173536694.17463556,162258000.0,154209629.56488866,154209629.56488866,-764000.0,-25588048.77272261,-25588048.77272261,25085000.0,39658363.59899477,39658363.59899477,-764000.0,-27033451.634948414,-27033451.634948414
1590,740,3,27253000.0,216822286.8843866,216822286.8843866,14465193.072010836,-92862582.51189877,-92862582.51189877,12787806.927989164,470097589.2770897,470097589.2770897,-17000.0,5882081.345787915,5882081.345787915,17493000.0,32168816.226106826,32168816.226106826,17476000.0,34745866.767391466,34745866.767391466,1196000.0,5268169.1970089935,5268169.1970089935,138000.0,7478453.557089251,7478453.557089251,-155000.0,751925.2107551815,751925.2107551815
367,140,3,798398000.0,975633387.6180427,975633387.6180427,795372000.0,687755669.0062537,687755669.0062537,3026000.0,720935699.618519,720935699.618519,37121000.0,45300354.94859707,45300354.94859707,256160000.0,377132555.1579282,377132555.1579282,293281000.0,420950403.0204143,420950403.0204143,10257000.0,6972981.102514865,6972981.102514865,26864000.0,41611665.61859588,41611665.61859588,10257000.0,3769324.664536562,3769324.664536562
636,741,2,1059052000.0,1614987034.2229536,1614987034.2229536,883921000.0,819886487.9732698,819886487.9732698,175131000.0,781215859.709874,781215859.709874,91945000.0,116380138.01072781,116380138.01072781,202788000.0,225339112.66533187,225339112.66533187,235132000.0,290464702.6312724,290464702.6312724,-287000.0,4733710.5254018195,4733710.5254018195,84957000.0,106578946.88204549,106578946.88204549,6988000.0,5266481.094552616,5266481.094552616
1270,1352,1,11069000000.0,9495563024.370598,9495563024.370598,5919000000.0,6173299127.296479,6173299127.296479,5105000000.0,2528063629.1552916,2528063629.1552916,727000000.0,762476589.1325213,762476589.1325213,1752000000.0,1823779750.9340315,1823779750.9340315,2479000000.0,2592660101.241475,2592660101.241475,462000000.0,505162245.8472179,505162245.8472179,265000000.0,237041436.5202847,237041436.5202847,462000000.0,500100000.0,500100000.0
102,263,0,12331000.0,300002516.62097627,300002516.62097627,10875000.0,39882127.67649071,39882127.67649071,1456000.0,-53770481.67790231,-53770481.67790231,1472000.0,3099767.27717354,3099767.27717354,1968000.0,20260428.929393027,20260428.929393027,3440000.0,80797897.25445446,80797897.25445446,-4166000.0,-842703.8612577831,-842703.8612577831,5638000.0,13778510.989007957,13778510.989007957,-4166000.0,-894718.4194793445,-894718.4194793445
1658,1092,1,180372000.0,587953165.7311124,587953165.7311124,121221000.0,98777682.99999325,98777682.99999325,30642000.0,598047872.5663328,598047872.5663328,18014000.0,25592055.888537515,25592055.888537515,31653000.0,22939144.28912516,22939144.28912516,49667000.0,60522329.52287468,60522329.52287468,-11599000.0,1941595.7224514107,1941595.7224514107,29613000.0,23512330.59780258,23512330.59780258,-11599000.0,1957000.0000000014,1957000.0000000014
6,33,0,2319806000.0,2704841288.167714,2704841288.167714,1534495000.0,1916357401.9287825,1916357401.9287825,785311000.0,816909793.8662498,816909793.8662498,376397000.0,304989886.15268236,304989886.15268236,415254000.0,358137635.0718436,358137635.0718436,791651000.0,656786524.9879352,656786524.9879352,93430000.0,51832233.13732232,51832233.13732232,288680000.0,268699007.79716057,268699007.79716057,87717000.0,43016371.35829383,43016371.35829383
1147,1055,3,19295025.0,242844313.14188024,242844313.14188024,28370931.0,-62411799.07643527,-62411799.07643527,-13369686.0,446007996.22058684,446007996.22058684,2067435.0,8484863.691025365,8484863.691025365,4847499.0,12788943.439840563,12788943.439840563,6914934.0,19982864.59681134,19982864.59681134,-1108124.0,-881531.5563985053,-881531.5563985053,3175559.0,10838641.086705502,10838641.086705502,-1108124.0,-475755.75227036746,-475755.75227036746
114,1011,2,3549408000.0,3264804336.8287873,3264804336.8287873,2109262000.0,1939455990.7260954,1939455990.7260954,1440146000.0,1303842361.5274937,1303842361.5274937,264579000.0,245834890.30676478,245834890.30676478,494402000.0,485515646.3400772,485515646.3400772,758981000.0,746799172.03585,746799172.03585,58594000.0,87901129.39921123,87901129.39921123,205985000.0,203745120.9187141,203745120.9187141,58594000.0,69076097.0821582,69076097.0821582
