Id,group_id,fold,actual_Q0_TOTAL_ASSETS,pred_Q0_TOTAL_ASSETS,actual_Q0_TOTAL_LIABILITIES,pred_Q0_TOTAL_LIABILITIES,actual_Q0_TOTAL_STOCKHOLDERS_EQUITY,pred_Q0_TOTAL_STOCKHOLDERS_EQUITY,actual_Q0_GROSS_PROFIT,pred_Q0_GROSS_PROFIT,actual_Q0_COST_OF_REVENUES,pred_Q0_COST_OF_REVENUES,actual_Q0_REVENUES,pred_Q0_REVENUES,actual_Q0_OPERATING_INCOME,pred_Q0_OPERATING_INCOME,actual_Q0_OPERATING_EXPENSES,pred_Q0_OPERATING_EXPENSES,actual_Q0_EBITDA,pred_Q0_EBITDA
196,617,1,1192950000.0,1417590730.1249454,1055816000.0,1058189447.7823008,137134000.0,864936468.6932304,25598000.0,39189039.32160742,61899000.0,56637319.784483805,42992000.0,34059341.6769366,15222000.0,28052715.59229356,10383000.0,14415466.946692823,15215000.0,23912874.09909904
1568,1171,2,1219954000.0,756689074.4765289,835046000.0,542930751.5095333,384908000.0,898973373.5129197,111786000.0,103760055.5324396,217796000.0,205353119.88558745,329582000.0,297787179.4632591,28908000.0,5125544.864145899,85522000.0,88510626.80720423,26264000.0,7458115.478739137
1218,1371,0,-135820000000.0,20761819299.12107,-37972000000.0,2473054670.4576244,-97848000000.0,-3671072793.7587833,-435000000.0,-660201794.6516435,4445000000.0,5633477111.652871,4010000000.0,6343458862.358039,-1472000000.0,-1306025805.6539855,219000000.0,357152297.7909256,-654000000.0,-293087957.8811384
23,1487,3,83298000.0,437359652.7989589,16040000.0,-36735281.7532357,-31633000.0,212270853.20556927,494000.0,6708849.402288269,3339000.0,4687808.991291662,3833000.0,2582472.393844576,-12348000.0,-16379849.59940657,12842000.0,16923729.65863203,-12348000.0,-17015300.326093417
783,1578,2,148546000.0,-119552029.8605138,56555000.0,-326936355.60618794,91991000.0,348981609.5303472,1761000.0,136107207.73179108,-2375000.0,-115451280.11441256,-614000.0,-2046037.9064878211,-10098000.0,77556299.69220641,11859000.0,20382355.05932804,-10098000.0,85765488.30226807
1251,366,2,7304300000.0,5011330387.211859,2451900000.0,2085541491.0738883,4830200000.0,2783448944.239502,578200000.0,614549861.052976,581100000.0,587439956.7236247,1159300000.0,1179333879.4632592,245200000.0,264423718.4272196,333000000.0,323183642.09973294,245200000.0,264714951.2054652
1224,512,1,1976905000.0,2214731065.5770493,699909000.0,684261274.5770848,1276996000.0,901858051.920512,53993000.0,89446039.32160743,315825000.0,309204602.3786013,369818000.0,381803741.67693657,-1572000.0,20404415.59229355,371390000.0,364225416.68143594,-317397000.0,-293199890.47611845
1410,663,0,2097274000.0,2566810740.018919,1132234000.0,1405018122.6562736,965931000.0,1065860116.0836136,70481000.0,175867205.3483565,291052000.0,305642229.54827183,361533000.0,454304843.3067845,58709000.0,120942976.34784764,11772000.0,18401693.574456595,58709000.0,135628072.55506635
529,886,2,31183000.0,-337612141.96091354,15926000.0,-405520159.66726506,15257000.0,195070329.33609867,2456000.0,2726364.128813984,2151000.0,4804519.88558744,4607000.0,1479479.4632591493,-2931000.0,-5006833.286708148,5387000.0,9922037.193912912,-2931000.0,-8418444.962789362
730,534,4,978523000.0,1617416579.4961698,851196000.0,792066952.3257692,-94184000.0,765157627.986906,24321000.0,28381569.747779604,137937000.0,138586085.56219795,162258000.0,152824632.8101005,-764000.0,-19462043.42206573,25085000.0,38500750.90018405,-764000.0,-22717601.790623337
1590,1012,1,27253000.0,391128947.3621094,14465193.072010836,-16034852.92553432,12787806.927989164,480710699.6082788,-17000.0,11358661.44410827,17493000.0,17213045.980756372,17476000.0,19509752.322524607,1196000.0,8179415.592293557,138000.0,3511035.9253531867,-155000.0,6819274.099099055
367,1492,3,798398000.0,1106279038.3780656,795372000.0,726740424.2376254,3026000.0,620866474.8131738,37121000.0,48160844.55958566,256160000.0,359521543.23247325,293281000.0,394846542.5063322,10257000.0,-8690495.671500362,26864000.0,36602818.96304067,10257000.0,-4880295.704429623
636,599,4,1059052000.0,1684716119.8966217,883921000.0,741797405.6041667,175131000.0,810311101.5394628,91945000.0,112094405.63788223,202788000.0,221710305.8425096,235132000.0,269247132.8101005,-287000.0,-627207.3345901817,84957000.0,100838180.81375672,6988000.0,-182001.96881475855
1270,1531,4,11069000000.0,9794099379.48014,5919000000.0,6121691919.257698,5105000000.0,3117530108.937468,727000000.0,759079430.5603371,1752000000.0,1806837574.4509315,2479000000.0,2556949132.8101006,462000000.0,503249519.54957926,265000000.0,228913645.04778004,462000000.0,493573888.14119536
102,977,1,12331000.0,452441621.49419034,10875000.0,27574027.9493472,1456000.0,214061353.62543845,1472000.0,11383661.44410827,1968000.0,18784910.88019504,3440000.0,84201150.3225246,-4166000.0,5617586.042293558,5638000.0,4519856.827134529,-4166000.0,2721971.249099038
1658,615,3,180372000.0,713368301.4957689,121221000.0,105120091.61671054,30642000.0,608705372.7488644,18014000.0,26172070.60424737,31653000.0,33313772.01003738,49667000.0,48875966.1386403,-11599000.0,1873533.4568806256,29613000.0,17140849.524551403,-11599000.0,-98477.01805058004
6,460,3,2319806000.0,3089546400.9149895,1534495000.0,1768429051.754872,785311000.0,1449140058.884024,376397000.0,307667361.90404403,415254000.0,323582843.23247325,791651000.0,622019703.9025832,93430000.0,44893355.41816776,288680000.0,262562727.27670047,87717000.0,34836648.06944108
1147,1021,2,19295025.0,-412201023.2956768,28370931.0,-400040432.9659205,-13369686.0,118292816.01832496,2067435.0,3689644.794857776,4847499.0,7766665.68558744,6914934.0,4907334.1632591495,-1108124.0,-662360.2286252938,3175559.0,8054188.133802855,-1108124.0,-2455190.455295547
114,283,0,3549408000.0,3174868947.712025,2109262000.0,2088341184.0224276,1440146000.0,1268096644.523909,264579000.0,242602205.3483565,494402000.0,497644619.9724265,758981000.0,728290774.3217998,58594000.0,95411294.43484844,205985000.0,192533023.8615337,58594000.0,76208213.8246392
139,282,1,331401784.0,824698163.9883268,56254670.0,79154782.69257098,275147114.0,539842442.956272,17982150.0,36357715.44410827,0.0,-6124378.04972687,17982150.0,14094319.122524608,-40215832.0,-23918493.20770643,58197982.0,54332244.939611845,-40215832.0,-30484455.050900955
411,1343,0,5533000.0,322956480.14276654,4648000.0,-32359946.09907997,885000.0,569481020.3803113,-1669000.0,7260959.426123281,2438000.0,8139704.061756018,769000.0,3508195.4216846675,-6339000.0,1119193.1038808797,4670000.0,7446239.39838875,-6339000.0,251645.17392269892
681,669,4,36550000000.0,31433838135.863,16943241279.095451,15694161707.76752,15250000000.0,7974663614.119972,577000000.0,547917504.886137,3467000000.0,3187557764.9399776,4044000000.0,3719449132.8101,714000000.0,481226700.88562727,627000000.0,677724503.7485834,-50000000.0,-153697814.35202244
1671,916,2,100449000.0,-247114492.37869155,141057000.0,-305197629.1474864,-40608000.0,265781138.48796463,-171000.0,4642537.853577662,512000.0,2460619.88558744,341000.0,-2197937.906487821,-48297000.0,-50639597.03493954,24344000.0,27905438.591059458,-24515000.0,-26877066.32261244
500,695,3,10599934.0,367797539.6677308,26203416.0,-52090570.27149224,-15603482.0,167936639.98427296,-6219.0,5483460.551783925,193120.0,2616949.8912916617,186901.0,50948.29384457604,-1076399.0,-3853333.4324676017,1070180.0,2699386.422955139,-1076399.0,-2287163.446529338
1203,1352,1,13322000.0,396969537.73560643,67881000.0,71495213.49778587,8277888.77383834,386675771.2709359,3223000.0,11548661.44410827,1889000.0,-4655883.231107736,5112000.0,-6631347.677475392,-3552000.0,-171934.40770644508,8664000.0,16040021.893656846,-5441000.0,-5682840.47611847
180,258,0,635001000.0,1473868304.0107508,115305000.0,169912142.3152671,502273000.0,777405100.6610534,21465000.0,31664959.42612328,40457000.0,49864036.89385705,61922000.0,68352105.89281738,-143360000.0,-162082083.43066806,205282000.0,170254247.9835364,-183817000.0,-172128904.8260773
1960,1146,2,2672864000.0,1981143630.3605242,288913000.0,-40568143.87684357,2383951000.0,1168944881.0537603,132902000.0,156405363.46619946,168499000.0,195346319.88558745,301401000.0,337788379.4632591,55706000.0,70177434.8377152,77196000.0,76908627.65308498,55706000.0,68000660.39897932
356,1603,3,8388335000.0,7893228367.386333,5163154000.0,5769407672.647462,3225181000.0,2161196108.9053574,313343000.0,345965532.7145452,687959000.0,730591272.0100374,1001302000.0,1057705803.9025831,116260000.0,134246163.802332,85661000.0,95538086.06794944,227682000.0,235854269.57760224
1646,823,0,1563399000.0,1632287522.193139,1445358000.0,1345463714.019276,-136248000.0,804451668.5407882,72333000.0,74807205.3483565,116682000.0,124596093.49351569,189015000.0,189364675.98896748,23506000.0,25419351.83612573,11423000.0,16210520.680215843,60910000.0,61095963.82463923
1793,854,4,320019000.0,795668817.9860572,126984000.0,63779372.40978426,193035000.0,834903726.7764534,177377000.0,216193829.1410868,58492000.0,78588309.3816924,235869000.0,302958132.8101005,25509000.0,42528970.13880129,151868000.0,183793443.27838996,25509000.0,35195390.64500811
235,268,0,0.0,355825709.28964573,0.0,-2165441.6503395364,-804876.0,489421275.7965617,0.0,7798205.3483564975,0.0,7502554.733254215,0.0,4271656.011651587,-14550.0,5080072.020674788,14550.0,3466021.406970661,-14550.0,4285331.174639229
1668,1096,2,267194000.0,-100954539.25040507,175308000.0,-243837143.8768436,91886000.0,407251393.2493048,5103000.0,9549477.63265714,0.0,2436119.88558744,5103000.0,1044662.0935121789,-32762000.0,-31518230.582605623,37865000.0,35466138.08654711,-32762000.0,-33930263.00251068
1456,668,0,2249377000.0,3130515283.2474623,1923326000.0,2242988764.686525,326519000.0,1056505343.7909018,-76300000.0,-64987794.6516435,416103000.0,441405931.88056,339803000.0,359408808.867432,34941000.0,19282993.10388086,184914000.0,190247721.91810834,-261214000.0,-256374754.8260773
1291,1438,2,396890000.0,-101469.53533697128,107071000.0,-303983159.66726506,289819000.0,346873962.5570389,52569000.0,51511911.73774871,13634000.0,14944019.88558744,66203000.0,55139562.093512185,8375000.0,-9508609.361202871,57828000.0,67765408.60115139,-5259000.0,-23603478.3834676
1376,1540,0,7827000.0,393251315.825311,4744000.0,1085268.0532423332,3083000.0,451473200.2155688,1288000.0,8655959.42612328,867000.0,9074091.4829192,2155000.0,5059157.992389118,-3880000.0,2171566.569331828,5168000.0,9644773.891736427,-3880000.0,491995.1739226989
1702,45,3,11990000.0,401744734.8198765,3030000.0,-81224483.62611586,8960000.0,191229786.2594632,1480000.0,7303040.526430868,3017000.0,4721180.213727551,4497000.0,454372.39384457597,-944000.0,-4145173.314441755,2424000.0,4115358.7185658785,-944000.0,-3746396.19419989
1591,554,4,7472874.0,140672386.61799222,3243445.0,-102063529.1754685,4067990.0,132584794.01902412,3065804.0,4241048.531499991,0.0,4957762.423351134,3065804.0,-2167268.689899485,-21884.0,-3280394.376833483,3087688.0,5855094.224978611,-21884.0,-5607602.24466585
647,262,1,2182494000.0,2352010345.1676598,2467501000.0,2324755748.8336844,-484456000.0,865918247.268229,389190000.0,386271661.44410825,141172000.0,128694689.63301247,531030000.0,501735041.67693657,-54175000.0,-47509884.40770645,443365000.0,429537025.6823587,-54175000.0,-49363775.90090097
100,1452,3,12166000.0,397342641.49877924,2892000.0,-38029124.777950585,9274000.0,148451397.70762002,5000.0,5565616.12185462,54000.0,1471180.2137275506,59000.0,184398.86097825196,-3433000.0,-6051666.77727961,3433000.0,6310047.950507027,-3428000.0,-5215913.730487432
507,1344,4,189783000.0,474621003.99087435,45792000.0,-57483890.705273926,143991000.0,348304861.4815996,2372000.0,6183522.816378398,0.0,-2053506.8067857048,2372000.0,-384267.1898994853,-18270000.0,-24777886.158195257,20642000.0,29332090.63308759,-18270000.0,-27888823.423770063
547,140,3,1072653000.0,1308211386.615997,455367000.0,396148310.2040447,617286000.0,422754365.1448437,134998000.0,141442226.7233259,27783000.0,29656008.99129166,163452000.0,155102372.39384454,5489000.0,-3679054.5198906767,129509000.0,132772833.23203105,5489000.0,-6087815.271594502
457,31,2,665104000.0,204574161.73200035,575531000.0,51552735.71911174,89573000.0,552209581.2581977,30803000.0,34184494.43559882,19437000.0,18756319.88558744,50240000.0,40709079.463259146,10357000.0,-4850779.664223179,22017000.0,24864041.5457898,8786000.0,-1155366.9136635847
560,1384,1,1900367000.0,2001181058.6792102,289037000.0,230179701.29696283,1613343000.0,915768901.001916,45433000.0,209475661.44410828,413911000.0,479090946.8540815,459344000.0,676165752.3225245,-6757000.0,212289965.59229344,52246000.0,64450043.342137486,-6813000.0,181404909.52388147
1402,659,4,88944000.0,324846693.4106136,45361000.0,-47452386.9057371,43583000.0,316100054.52645826,0.0,3180860.388852076,45000.0,-2009411.0943731293,45000.0,-2605867.189899485,-14351000.0,-14779232.79510455,14351000.0,17808951.183415294,-14351000.0,-17682375.629575826
1274,1288,0,5390785000.0,5461822015.356241,4083098000.0,4640315046.109456,1050686000.0,1428684908.081315,352054000.0,364465205.3483565,284900000.0,334679443.3184805,636954000.0,688895372.6898742,120850000.0,131164592.41202132,187232000.0,197911762.00024363,164822000.0,175568932.04675713
799,432,1,18535000.0,339747326.53328884,13748000.0,-14799415.058691502,4787000.0,385982769.22972345,2839000.0,14655661.44410827,7502000.0,2561030.5964426715,10341000.0,3991152.322524607,-2229000.0,4635565.59229356,3071000.0,6220621.8106169645,-232000.0,4156224.099099039
1436,1049,4,13281300000.0,9947967549.3749,5777300000.0,5500629142.9297695,7484300000.0,3135286650.653032,1030700000.0,1000431618.3880754,1150100000.0,1098636925.24593,2180800000.0,2101569132.8101006,687000000.0,633157311.9062574,343700000.0,364742744.4523985,687000000.0,639105878.489714
