Id,group_id,fold,actual_Q0_TOTAL_ASSETS,pred_Q0_TOTAL_ASSETS,actual_Q0_TOTAL_LIABILITIES,pred_Q0_TOTAL_LIABILITIES,actual_Q0_TOTAL_STOCKHOLDERS_EQUITY,pred_Q0_TOTAL_STOCKHOLDERS_EQUITY,actual_Q0_GROSS_PROFIT,pred_Q0_GROSS_PROFIT,actual_Q0_COST_OF_REVENUES,pred_Q0_COST_OF_REVENUES,actual_Q0_REVENUES,pred_Q0_REVENUES,actual_Q0_OPERATING_INCOME,pred_Q0_OPERATING_INCOME,actual_Q0_OPERATING_EXPENSES,pred_Q0_OPERATING_EXPENSES,actual_Q0_EBITDA,pred_Q0_EBITDA
196,1119,4,1192950000.0,1535846441.7845254,1055816000.0,1118012213.7158866,137134000.0,683660244.5229943,25598000.0,36600472.98166382,61899000.0,61435334.172235705,42992000.0,40584223.207482345,15222000.0,21229369.161666,10383000.0,17497795.09872958,15215000.0,16921400.199463658
1568,556,2,1219954000.0,1186049850.0260797,835046000.0,847800739.3886068,384908000.0,199980684.34338906,111786000.0,108485915.7783888,217796000.0,203177412.8521949,329582000.0,296509508.364834,28908000.0,8866233.492705058,85522000.0,90497357.79651085,26264000.0,14605259.332231605
1218,1577,0,-135820000000.0,15600097804.782862,-37972000000.0,-2397628276.4005966,-97848000000.0,11865172373.344873,-435000000.0,-627178686.2330713,4445000000.0,5661692914.945882,4010000000.0,6447190742.236077,-1472000000.0,-1323116904.8168118,219000000.0,355556186.9829215,-654000000.0,-281217133.83881396
23,1062,1,83298000.0,422464855.48315454,16040000.0,-6416133.264332175,-31633000.0,159223331.7452361,494000.0,5082625.44737436,3339000.0,-3987708.3245211914,3833000.0,-7514630.606893454,-12348000.0,-17287871.751633804,12842000.0,20440639.334605563,-12348000.0,-19986987.824924693
783,805,3,148546000.0,-226284839.6938036,56555000.0,-250622672.86886507,91991000.0,192561578.0838235,1761000.0,141565745.8177988,-2375000.0,-115299819.99068406,-614000.0,472669.62981021684,-10098000.0,81867922.35370211,11859000.0,22507726.26188266,-10098000.0,93378228.6310848
1251,822,1,7304300000.0,6189405221.645565,2451900000.0,2557765805.058676,4830200000.0,3194477387.0685215,578200000.0,611877908.4550714,581100000.0,593861761.279777,1159300000.0,1175345325.434171,245200000.0,268978741.2665828,333000000.0,323956681.1565516,245200000.0,262553058.45452145
1224,228,0,1976905000.0,2044263412.5666337,699909000.0,656309170.4623086,1276996000.0,1248301492.8800309,53993000.0,83197616.81323165,315825000.0,327289159.73472446,369818000.0,402206995.20166725,-1572000.0,14625797.034517892,371390000.0,368921700.8271134,-317397000.0,-294579508.50148517
1410,1451,2,2097274000.0,2036919135.4321716,1132234000.0,1198843986.7214766,965931000.0,919417549.6110865,70481000.0,180394690.01156968,291052000.0,287794712.8521949,361533000.0,440764798.88626117,58709000.0,119018733.49270505,11772000.0,21144412.73488392,58709000.0,131896109.33223161
529,34,4,31183000.0,406625005.75129205,15926000.0,26319475.94173467,15257000.0,304195097.2894809,2456000.0,6641007.54083039,2151000.0,-1787519.8456877843,4607000.0,-7242759.492243573,-2931000.0,-4900125.290357193,5387000.0,11016334.200067112,-2931000.0,-6765952.828235259
730,909,4,978523000.0,1465960812.8191454,851196000.0,861655907.0295663,-94184000.0,560256724.1137587,24321000.0,30184508.171584807,137937000.0,141812054.57885748,162258000.0,149098849.57613945,-764000.0,-18797994.599432286,25085000.0,40734478.544741295,-764000.0,-22862449.152204547
1590,1344,4,27253000.0,363904685.6119448,14465193.072010836,-12859489.194022192,12787806.927989164,436405215.6413824,-17000.0,5214326.769789298,17493000.0,18974491.371988785,17476000.0,22824247.362658437,1196000.0,1181518.216147195,138000.0,5713729.135821974,-155000.0,8150.0613973238505
367,268,0,798398000.0,1134698993.7472825,795372000.0,814384005.9735385,3026000.0,558352582.7475648,37121000.0,42030284.89146168,256160000.0,360092196.28641343,293281000.0,406841177.79707795,10257000.0,-6427669.607958116,26864000.0,40069972.65461655,10257000.0,-705708.5014851787
636,839,4,1059052000.0,1586323367.3398402,883921000.0,838980187.1979464,175131000.0,677972394.5896065,91945000.0,110860812.9150606,202788000.0,228072410.61857194,235132000.0,263138957.68421495,-287000.0,948644.7990653142,84957000.0,102842423.40477574,6988000.0,3475101.4229563777
1270,1065,3,11069000000.0,9227157104.958395,5919000000.0,5792294636.410127,5105000000.0,3720854056.378726,727000000.0,762111745.8177987,1752000000.0,1816121892.0292025,2479000000.0,2566452770.056961,462000000.0,509774137.35268897,265000000.0,229680676.78098252,462000000.0,502818195.9248455
102,712,1,12331000.0,386184303.2897614,10875000.0,25410670.915761054,1456000.0,66704007.42143282,1472000.0,8042573.344344792,1968000.0,10015912.995445553,3440000.0,84352681.37268718,-4166000.0,141495.5171208938,5638000.0,6121869.967291115,-4166000.0,-396092.5621311688
1658,812,1,180372000.0,590611637.4557577,121221000.0,57549738.321371794,30642000.0,261630438.51227164,18014000.0,22851472.84908103,31653000.0,21437183.56618511,49667000.0,38120249.65832323,-11599000.0,-734414.6683274773,29613000.0,20357255.417946383,-11599000.0,-1064414.1729177344
6,356,2,2319806000.0,2694465721.7755384,1534495000.0,1785108586.5339236,785311000.0,950166349.348745,376397000.0,304296584.8925541,415254000.0,322542712.8521949,791651000.0,617677708.3648341,93430000.0,49113683.49270505,288680000.0,263483791.59118354,87717000.0,40115459.3322316
1147,318,0,19295025.0,487940200.921896,28370931.0,27150663.070300415,-13369686.0,420441230.14196265,2067435.0,5445845.337810382,4847499.0,9949807.765153777,6914934.0,19431985.641921602,-1108124.0,158752.20801197877,3175559.0,8278560.701473809,-1108124.0,1641208.6485148163
114,141,2,3549408000.0,2779892964.374071,2109262000.0,1842054876.369559,1440146000.0,754979667.86876,264579000.0,246885288.81354886,494402000.0,486600912.8521949,758981000.0,715319598.8862612,58594000.0,93084533.49270502,205985000.0,194946523.04034293,58594000.0,72444209.33223158
139,890,3,331401784.0,-17831295.52142465,56254670.0,-285921229.00966597,275147114.0,249718352.64425963,17982150.0,35085799.81779878,0.0,2947598.7301969747,17982150.0,25198792.31047894,-40215832.0,-26350531.255726367,58197982.0,56852216.54326489,-40215832.0,-31618500.518915176
411,956,2,5533000.0,-204716167.6452716,4648000.0,-104269239.21872306,885000.0,-115661665.78553776,-1669000.0,12411915.778388804,2438000.0,904512.85219492,769000.0,-4719201.113738816,-6339000.0,-643778.4873993713,4670000.0,8224881.418236766,-6339000.0,-3013390.667768396
681,18,1,36550000000.0,30420325829.64885,16943241279.095451,15668755631.890055,15250000000.0,10028319723.74359,577000000.0,551551694.4883915,3467000000.0,3204641770.6282215,4044000000.0,3731231251.6629333,714000000.0,476404087.27875364,627000000.0,682513576.4108826,-50000000.0,-172201670.8092841
1671,1574,4,100449000.0,509076527.35826516,141057000.0,99898442.57249779,-40608000.0,314431592.843067,-171000.0,4457453.411069084,512000.0,-1750183.8748986225,341000.0,-3152140.2417446505,-48297000.0,-52776303.5068136,24344000.0,29265694.10518504,-24515000.0,-27831798.232281644
500,1524,4,10599934.0,305435546.836879,26203416.0,18530142.90021485,-15603482.0,301636799.60885966,-6219.0,5159723.853399751,193120.0,-2353317.919125779,186901.0,3841663.3384809787,-1076399.0,-757606.3225203924,1070180.0,6358810.448997024,-1076399.0,-1691806.2433571564
1203,855,3,13322000.0,-293825371.4303575,67881000.0,-253594407.4547727,8277888.77383834,81925015.1410933,3223000.0,10276745.817798778,1889000.0,4525399.539810635,5112000.0,2142184.671157698,-3552000.0,-2909258.870493956,8664000.0,19124663.039982807,-5441000.0,-6607271.368915189
180,1091,2,635001000.0,945929147.9772787,115305000.0,42567891.80257034,502273000.0,501673473.0503942,21465000.0,36695290.96269359,40457000.0,38830712.85219492,61922000.0,58759408.364834026,-143360000.0,-164887566.50729483,205282000.0,172359385.4734549,-183817000.0,-175393940.6677684
1960,1407,1,2672864000.0,2839290143.27286,288913000.0,395808438.25945646,2383951000.0,1361904914.8516388,132902000.0,153350979.52157983,168499000.0,195275526.24213198,301401000.0,329494612.60085845,55706000.0,72908655.77319038,77196000.0,76989907.52311127,55706000.0,66500167.09807396
356,219,4,8388335000.0,7675346238.531524,5163154000.0,5755478939.7669935,3225181000.0,2450162995.6226516,313343000.0,336930019.0337002,687959000.0,726772119.662744,1001302000.0,1053821391.0190104,116260000.0,130105146.9688554,85661000.0,97317826.82725945,227682000.0,233742351.31137702
1646,1209,4,1563399000.0,1624072239.2771695,1445358000.0,1324790743.7562737,-136248000.0,845054242.6853747,72333000.0,73109211.4522579,116682000.0,112505271.38155621,189015000.0,179201700.00386792,23506000.0,19821780.489241853,11423000.0,18083402.30840561,60910000.0,54425947.230353415
1793,1494,4,320019000.0,613793348.6496769,126984000.0,81613768.72640398,193035000.0,667581369.6404911,177377000.0,219017618.51093307,58492000.0,84181691.6408589,235869000.0,297109006.0759292,25509000.0,38255516.45966664,151868000.0,184386590.94432017,25509000.0,36857868.14213344
235,903,0,0.0,423102746.008761,0.0,-17445651.366634175,-804876.0,371506641.2095368,0.0,2652248.2625554167,0.0,2144613.285870077,0.0,11438530.941921601,-14550.0,-111751.29198802123,14550.0,5747344.683305249,-14550.0,1076808.8485148163
1668,520,3,267194000.0,6434678.675803542,175308000.0,-164258480.65105855,91886000.0,253866543.7198287,5103000.0,13510700.634193957,0.0,2851262.601730013,5103000.0,3718232.805963449,-32762000.0,-25151004.071407612,37865000.0,37805953.83072126,-32762000.0,-26073021.368915178
1456,719,4,2249377000.0,2773641767.289114,1923326000.0,2108535688.399961,326519000.0,1117458898.5689616,-76300000.0,-65847241.70019795,416103000.0,427293519.89249516,339803000.0,347620324.3790584,34941000.0,8060935.715042454,184914000.0,193340420.64827743,-261214000.0,-264957912.5257256
1291,57,1,396890000.0,878907188.0401592,107071000.0,89039324.23974943,289819000.0,494609669.78873545,52569000.0,52586133.922914915,13634000.0,11649663.551971488,66203000.0,51703847.71706542,8375000.0,-7307173.015026476,57828000.0,68231919.09093532,-5259000.0,-21160642.81283448
1376,344,4,7827000.0,264679780.25318772,4744000.0,-32229222.932579756,3083000.0,232225576.4621591,1288000.0,6557502.464108435,867000.0,-2837241.632750979,2155000.0,-6131447.407623921,-3880000.0,-6974041.607261669,5168000.0,11285377.26605637,-3880000.0,-8007161.627409611
1702,1482,1,11990000.0,318459971.9975157,3030000.0,-43981282.01256508,8960000.0,135612996.45725623,1480000.0,6162143.840473474,3017000.0,-1464675.567572657,4497000.0,-11650031.608775727,-944000.0,-3799031.6834748774,2424000.0,7002425.009310693,-944000.0,-5471622.05390288
1591,331,2,7472874.0,-196460279.61396646,3243445.0,-102081630.81251436,4067990.0,-214067918.27586764,3065804.0,13349477.415376121,0.0,260412.85219491998,3065804.0,-4711802.613738816,-21884.0,1362307.7626006296,3087688.0,7381067.349582176,-21884.0,-970502.3177683954
647,1582,1,2182494000.0,2605553479.2916765,2467501000.0,2379137841.857727,-484456000.0,598938918.4952009,389190000.0,381086034.6951009,141172000.0,133495437.5801755,531030000.0,506637976.8741871,-54175000.0,-58050107.55485397,443365000.0,431346402.35481656,-54175000.0,-60104699.33670626
100,1589,2,12166000.0,-160877588.50921923,2892000.0,-88077511.5077228,9274000.0,-163272329.20090246,5000.0,12414584.892554095,54000.0,284212.85219491995,59000.0,-5159901.113738816,-3433000.0,-306871.1371288439,3433000.0,8498542.076406982,-3428000.0,-2833940.667768395
507,336,2,189783000.0,139648784.12042847,45792000.0,-58270634.642348826,143991000.0,76283828.82131359,2372000.0,14688584.892554095,0.0,260412.85219491998,2372000.0,-2928801.113738816,-18270000.0,-19592116.507294953,20642000.0,31397110.549301676,-18270000.0,-22287840.667768393
547,1095,3,1072653000.0,551024176.6511078,455367000.0,47188451.36734986,617286000.0,504188510.4412945,134998000.0,141396700.63419396,27783000.0,29514905.773348454,163452000.0,154972315.39483362,5489000.0,337042.56579689356,129509000.0,136552309.16763437,5489000.0,-1051471.3689151905
457,886,2,665104000.0,500737234.0761335,575531000.0,409077590.58090687,89573000.0,181808434.07748178,30803000.0,40694690.011569664,19437000.0,16580612.85219492,50240000.0,38599798.88626118,10357000.0,2942383.492705049,22017000.0,26584774.48227587,8786000.0,8154959.332231604
560,670,3,1900367000.0,1060568410.1375523,289037000.0,-3631841.46274364,1613343000.0,767923253.5380446,45433000.0,208203745.8177988,413911000.0,489053768.0705875,459344000.0,684500491.3211101,-6757000.0,209516528.58706293,52246000.0,66200484.06741998,-6813000.0,180339295.92484546
1402,905,3,88944000.0,-256420494.15218592,45361000.0,-292210415.40727293,43583000.0,85123853.0888809,0.0,9970700.634193957,45000.0,2544622.405014473,45000.0,500548.2528028386,-14351000.0,-10143991.562076371,14351000.0,20074675.33525542,-14351000.0,-11881771.368915183
1274,1040,3,5390785000.0,4723682282.384911,4083098000.0,4153359859.5549655,1050686000.0,1491219940.9887114,352054000.0,366637700.63419396,284900000.0,321517030.68877894,636954000.0,682095631.7175487,120850000.0,129533149.00517897,187232000.0,197824795.90143883,164822000.0,172400795.92484552
799,197,1,18535000.0,370768382.77476716,13748000.0,-26256614.271634698,4787000.0,143647700.76440573,2839000.0,9189201.282419441,7502000.0,2695536.357706208,10341000.0,409998.1570694819,-2229000.0,-4297499.164254408,3071000.0,8070039.198176752,-232000.0,-3230923.9647241645
1436,782,1,13281300000.0,10327272106.034126,5777300000.0,5682496935.431225,7484300000.0,4912961327.028797,1030700000.0,1005252689.9929341,1150100000.0,1116081496.3897686,2180800000.0,2108497611.632667,687000000.0,635182827.1511848,343700000.0,368148227.28828084,687000000.0,637051144.5326556
1518,137,1,108681735.0,360950153.43579847,9192190.0,-46961137.24340999,67531550.37365061,198309353.3518421,2201326.0,4056934.0201955894,255772.0,-3639785.234689738,2457098.0,-9312674.018866915,-8935951.0,-13748693.733543504,11137277.0,16214833.866086997,-8935951.0,-15126866.7435098
211,1313,0,189692000.0,598560055.6591225,90178000.0,88083893.47126368,99514000.0,427209152.73436105,-4411000.0,715529.0919830184,24963000.0,30455158.354979366,20552000.0,36151730.9419216,-10000000.0,-3699289.9096454773,5589000.0,9945656.01600178,-10000000.0,-3434108.5014851848
1542,188,0,230878000.0,657229931.6763763,57278000.0,84212923.94602117,173600000.0,516100688.425582,26973000.0,29791598.030658174,7041000.0,11143408.969739925,34014000.0,44164295.201667234,-11169000.0,-10818419.607958123,38142000.0,42850170.663552,-11169000.0,-9538458.501485182
