target,candidate,members,weights,r2
Q0_TOTAL_ASSETS,B1,B1,1.0,0.37171166587152094
Q0_TOTAL_ASSETS,B2,B2,1.0,0.5587405683214817
Q0_TOTAL_ASSETS,B3,B3,1.0,0.22737451606538794
Q0_TOTAL_ASSETS,B1+B2,"B1,B2","0.0,1.0",0.5587405683214817
Q0_TOTAL_ASSETS,B1+B2,"B1,B2","0.1,0.9",0.5568794594964931
Q0_TOTAL_ASSETS,B1+B2,"B1,B2","0.2,0.8",0.5512757325781694
Q0_TOTAL_ASSETS,B1+B2,"B1,B2","0.3,0.7",0.5419293875665108
Q0_TOTAL_ASSETS,B1+B2,"B1,B2","0.4,0.6",0.5288404244615171
Q0_TOTAL_ASSETS,B1+B2,"B1,B2","0.5,0.5",0.5120088432631886
Q0_TOTAL_ASSETS,B1+B2,"B1,B2","0.6,0.4",0.49143464397152503
Q0_TOTAL_ASSETS,B1+B2,"B1,B2","0.7,0.3",0.46711782658652645
Q0_TOTAL_ASSETS,B1+B2,"B1,B2","0.8,0.2",0.4390583911081929
Q0_TOTAL_ASSETS,B1+B2,"B1,B2","0.9,0.1",0.40725633753652446
Q0_TOTAL_ASSETS,B1+B2,"B1,B2","1.0,0.0",0.37171166587152094
Q0_TOTAL_ASSETS,B1+B3,"B1,B3","0.0,1.0",0.22737451606538794
Q0_TOTAL_ASSETS,B1+B3,"B1,B3","0.1,0.9",0.24786021697414795
Q0_TOTAL_ASSETS,B1+B3,"B1,B3","0.2,0.8",0.2670010321210975
Q0_TOTAL_ASSETS,B1+B3,"B1,B3","0.3,0.7",0.2847969615062368
Q0_TOTAL_ASSETS,B1+B3,"B1,B3","0.4,0.6",0.3012480051295656
Q0_TOTAL_ASSETS,B1+B3,"B1,B3","0.5,0.5",0.3163541629910841
Q0_TOTAL_ASSETS,B1+B3,"B1,B3","0.6,0.4",0.3301154350907922
Q0_TOTAL_ASSETS,B1+B3,"B1,B3","0.7,0.3",0.34253182142869
Q0_TOTAL_ASSETS,B1+B3,"B1,B3","0.8,0.2",0.3536033220047774
Q0_TOTAL_ASSETS,B1+B3,"B1,B3","0.9,0.1",0.36332993681905434
Q0_TOTAL_ASSETS,B1+B3,"B1,B3","1.0,0.0",0.37171166587152094
Q0_TOTAL_ASSETS,B1+B2+B3,"B1,B2,B3","0.0,0.0,1.0",0.22737451606538794
