target,stage,members,weights,r2
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.00,1.00",0.6731120406470958
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.05,0.95",0.6802183953131855
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.10,0.90",0.6863792532753736
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.15,0.85",0.6915946145336598
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.20,0.80",0.6958644790880442
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.25,0.75",0.699188846938527
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.30,0.70",0.7015677180851079
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.35,0.65",0.703001092527787
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.40,0.60",0.7034889702665642
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.45,0.55",0.7030313513014398
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.50,0.50",0.7016282356324136
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.55,0.45",0.6992796232594856
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.60,0.40",0.6959855141826559
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.65,0.35",0.6917459084019242
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.70,0.30",0.686560805917291
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.75,0.25",0.680430206728756
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.80,0.20",0.673354110836319
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.85,0.15",0.6653325182399803
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.90,0.10",0.6563654289397398
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,0.95,0.05",0.6464528429355977
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.00,1.00,0.00",0.6355947602275537
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.00,0.95",0.6679421158962089
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.05,0.90",0.6751049931388966
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.10,0.85",0.6813223736776826
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.15,0.80",0.6865942575125668
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.20,0.75",0.6909206446435491
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.25,0.70",0.6943015350706296
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.30,0.65",0.6967369287938084
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.35,0.60",0.6982268258130855
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.40,0.55",0.6987712261284609
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.45,0.50",0.6983701297399343
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.50,0.45",0.6970235366475062
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.55,0.40",0.694731446851176
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.60,0.35",0.6914938603509442
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.65,0.30",0.6873107771468107
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.70,0.25",0.6821821972387752
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.75,0.20",0.676108120626838
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.80,0.15",0.6690885473109991
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.85,0.10",0.6611234772912584
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.90,0.05",0.652212910567616
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.05,0.95,0.00",0.6423568471400717
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.00,0.90",0.6627144386331751
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.05,0.85",0.6699338384524608
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.10,0.80",0.6762077415678447
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.15,0.75",0.6815361479793268
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.20,0.70",0.6859190576869072
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.25,0.65",0.6893564706905857
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.30,0.60",0.6918483869903627
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.35,0.55",0.6933948065862375
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.40,0.50",0.6939957294782109
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.45,0.45",0.6936511556662822
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.50,0.40",0.6923610851504519
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.55,0.35",0.6901255179307197
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.60,0.30",0.6869444540070859
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.65,0.25",0.6828178933795503
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.70,0.20",0.6777458360481129
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.10,0.75,0.15",0.6717282820127737
