quarter,avg_missing_rate,median_missing_rate,max_missing_rate,min_missing_rate,observed_columns
Q1,0.013822080556360477,0.0049261083743842365,0.1477832512315271,0.0,17
Q2,0.01614024920312953,0.007389162561576354,0.15615763546798028,0.0,17
Q3,0.031237322515212978,0.014778325123152709,0.1935960591133005,0.0,17
Q4,0.018603303390321648,0.009852216748768473,0.14334975369458128,0.0,17
Q5,0.021066357577513763,0.010344827586206896,0.14285714285714285,0.0,17
Q6,0.028223703274413214,0.01625615763546798,0.15566502463054188,0.0,17
Q7,0.11950159374094464,0.10689655172413794,0.254679802955665,0.0,17
Q8,0.03859750796870472,0.026600985221674877,0.15369458128078817,0.0,17
Q9,0.08229498696030137,0.07192118226600985,0.18177339901477832,0.0,17
Q10,0.12891915386844394,0.12315270935960591,0.2004926108374384,0.0,17
