adjustment,mean_r2,r2_Q0_TOTAL_ASSETS,r2_Q0_TOTAL_LIABILITIES,r2_Q0_TOTAL_STOCKHOLDERS_EQUITY,r2_Q0_GROSS_PROFIT,r2_Q0_COST_OF_REVENUES,r2_Q0_REVENUES,r2_Q0_OPERATING_INCOME,r2_Q0_OPERATING_EXPENSES,r2_Q0_EBITDA,outer_fold,selected
none,0.9694372123686887,0.9864765499256831,0.9893636648630227,0.9708523228486048,0.9903433977874665,0.9704216964600221,0.9801955936523352,0.8692047817303329,0.9930648533524806,0.9750120506982507,0,True
balance_sheet_equity,0.958393185397137,0.9864765499256831,0.9893636648630227,0.8714560801046384,0.9903433977874665,0.9704216964600221,0.9801955936523352,0.8692047817303329,0.9930648533524806,0.9750120506982507,0,False
gross_profit_identity,0.9661082094842074,0.9864765499256831,0.9893636648630227,0.9708523228486048,0.9603823718271335,0.9704216964600221,0.9801955936523352,0.8692047817303329,0.9930648533524806,0.9750120506982507,0,False
operating_income_identity,0.37431218035134567,0.9864765499256831,0.9893636648630227,0.9708523228486048,0.9903433977874665,0.9704216964600221,0.9801955936523352,-4.486920506425754,0.9930648533524806,0.9750120506982507,0,False
income_statement_identity,0.34456620067932764,0.9864765499256831,0.9893636648630227,0.9708523228486048,0.9603823718271335,0.9704216964600221,0.9801955936523352,-4.724673297513584,0.9930648533524806,0.9750120506982507,0,False
balance_and_income_identity,0.3335221737077758,0.9864765499256831,0.9893636648630227,0.8714560801046384,0.9603823718271335,0.9704216964600221,0.9801955936523352,-4.724673297513584,0.9930648533524806,0.9750120506982507,0,False
none,0.8129978182641122,0.5812309096814317,0.8634678072874453,0.23019355787000972,0.9810764107277753,0.9622131900310535,0.9701311391765972,0.7804531713283733,0.9870168091318511,0.9611973691424723,1,True
balance_sheet_equity,0.7854041217451984,0.5812309096814317,0.8634678072874453,-0.018149710800214436,0.9810764107277753,0.9622131900310535,0.9701311391765972,0.7804531713283733,0.9870168091318511,0.9611973691424723,1,False
gross_profit_identity,0.8088876496792171,0.5812309096814317,0.8634678072874453,0.23019355787000972,0.9440848934637194,0.9622131900310535,0.9701311391765972,0.7804531713283733,0.9870168091318511,0.9611973691424723,1,False
operating_income_identity,0.20630076132484687,0.5812309096814317,0.8634678072874453,0.23019355787000972,0.9810764107277753,0.9622131900310535,0.9701311391765972,-4.679820341125014,0.9870168091318511,0.9611973691424723,1,False
income_statement_identity,0.1803828006691767,0.5812309096814317,0.8634678072874453,0.23019355787000972,0.9440848934637194,0.9622131900310535,0.9701311391765972,-4.87609046976199,0.9870168091318511,0.9611973691424723,1,False
balance_and_income_identity,0.15278910415026287,0.5812309096814317,0.8634678072874453,-0.018149710800214436,0.9440848934637194,0.9622131900310535,0.9701311391765972,-4.87609046976199,0.9870168091318511,0.9611973691424723,1,False
none,0.7877753301244768,0.47096430237581566,0.7975963246690103,0.14928142996332794,0.9833872283089286,0.9495716456075655,0.9650615473452983,0.8164484917671195,0.987092960280926,0.9705740408022996,2,True
balance_sheet_equity,0.7601450323134048,0.47096430237581566,0.7975963246690103,-0.09939125033631946,0.9833872283089286,0.9495716456075655,0.9650615473452983,0.8164484917671195,0.987092960280926,0.9705740408022996,2,False
gross_profit_identity,0.7842751218919429,0.47096430237581566,0.7975963246690103,0.14928142996332794,0.9518853542161241,0.9495716456075655,0.9650615473452983,0.8164484917671195,0.987092960280926,0.9705740408022996,2,False
operating_income_identity,0.050768710513735577,0.47096430237581566,0.7975963246690103,0.14928142996332794,0.9833872283089286,0.9495716456075655,0.9650615473452983,-5.816611084729551,0.987092960280926,0.9705740408022996,2,False
income_statement_identity,0.033027661669330306,0.47096430237581566,0.7975963246690103,0.14928142996332794,0.9518853542161241,0.9495716456075655,0.9650615473452983,-5.944778650236394,0.987092960280926,0.9705740408022996,2,False
balance_and_income_identity,0.005397363858258385,0.47096430237581566,0.7975963246690103,-0.09939125033631946,0.9518853542161241,0.9495716456075655,0.9650615473452983,-5.944778650236394,0.987092960280926,0.9705740408022996,2,False
none,0.8057649311098881,0.5072966901042273,0.8344806387025991,0.14958642692279966,0.9844372752496189,0.9899316089150415,0.9871617061812092,0.8498275386258085,0.9887183422625682,0.9604441530251203,3,True
balance_sheet_equity,0.7793457147239946,0.5072966901042273,0.8344806387025991,-0.08818652055024145,0.9844372752496189,0.9899316089150415,0.9871617061812092,0.8498275386258085,0.9887183422625682,0.9604441530251203,3,False
gross_profit_identity,0.8050072258754841,0.5072966901042273,0.8344806387025991,0.14958642692279966,0.9776179281399832,0.9899316089150415,0.9871617061812092,0.8498275386258085,0.9887183422625682,0.9604441530251203,3,False
operating_income_identity,0.5199977058497085,0.5072966901042273,0.8344806387025991,0.14958642692279966,0.9844372752496189,0.9899316089150415,0.9871617061812092,-1.722077488715807,0.9887183422625682,0.9604441530251203,3,False
income_statement_identity,0.5132569837493821,0.5072966901042273,0.8344806387025991,0.14958642692279966,0.9776179281399832,0.9899316089150415,0.9871617061812092,-1.77592464050911,0.9887183422625682,0.9604441530251203,3,False
balance_and_income_identity,0.4868377673634886,0.5072966901042273,0.8344806387025991,-0.08818652055024145,0.9776179281399832,0.9899316089150415,0.9871617061812092,-1.77592464050911,0.9887183422625682,0.9604441530251203,3,False
none,0.8102186141799785,0.6056618447236805,0.8665436922734907,0.20478942941954792,0.9719149588046336,0.9566048332485106,0.9660052837156109,0.7959999250539327,0.9860334206280156,0.9384141397523847,4,True
balance_sheet_equity,0.794244850393282,0.6056618447236805,0.8665436922734907,0.061025555339278115,0.9719149588046336,0.9566048332485106,0.9660052837156109,0.7959999250539327,0.9860334206280156,0.9384141397523847,4,False
gross_profit_identity,0.8041046519264977,0.6056618447236805,0.8665436922734907,0.20478942941954792,0.916889298523306,0.9566048332485106,0.9660052837156109,0.7959999250539327,0.9860334206280156,0.9384141397523847,4,False
operating_income_identity,0.4635079949889266,0.6056618447236805,0.8665436922734907,0.20478942941954792,0.9719149588046336,0.9566048332485106,0.9660052837156109,-2.324395647665535,0.9860334206280156,0.9384141397523847,4,False
income_statement_identity,0.4426304153070777,0.6056618447236805,0.8665436922734907,0.20478942941954792,0.916889298523306,0.9566048332485106,0.9660052837156109,-2.457268204520848,0.9860334206280156,0.9384141397523847,4,False
balance_and_income_identity,0.426656651520381,0.6056618447236805,0.8665436922734907,0.061025555339278115,0.916889298523306,0.9566048332485106,0.9660052837156109,-2.457268204520848,0.9860334206280156,0.9384141397523847,4,False
