outer_fold,target,members,weights,inner_oof_r2
0,Q0_TOTAL_ASSETS,B2,1.00,0.9852806448273258
0,Q0_TOTAL_LIABILITIES,B2,1.00,0.9884107735107225
0,Q0_TOTAL_STOCKHOLDERS_EQUITY,"B1,B2,B3","0.00,0.90,0.10",0.9689885648079131
0,Q0_GROSS_PROFIT,"B1,B2","0.90,0.10",0.9901922628460531
0,Q0_COST_OF_REVENUES,"B1,B2","0.60,0.40",0.9698762887288082
0,Q0_REVENUES,"B1,B2","0.70,0.30",0.9800890398890763
0,Q0_OPERATING_INCOME,"B1,B2,B3","0.10,0.40,0.50",0.8664206427069695
0,Q0_OPERATING_EXPENSES,"B1,B2,B3","0.00,0.40,0.60",0.9930359127017452
0,Q0_EBITDA,"B1,B2,B3","0.40,0.30,0.30",0.9745624467198161
1,Q0_TOTAL_ASSETS,B2,1.00,0.4722902439318637
1,Q0_TOTAL_LIABILITIES,B2,1.00,0.8418910719325945
1,Q0_TOTAL_STOCKHOLDERS_EQUITY,B1,1.00,-0.23083066835791444
1,Q0_GROSS_PROFIT,B1,1.00,0.9809859677899063
1,Q0_COST_OF_REVENUES,"B1,B2","0.90,0.10",0.9616806314841603
1,Q0_REVENUES,B1,1.00,0.969904376663319
1,Q0_OPERATING_INCOME,"B1,B2,B3","0.20,0.30,0.50",0.7784445109639213
1,Q0_OPERATING_EXPENSES,"B1,B2,B3","0.70,0.20,0.10",0.9867384874639683
1,Q0_EBITDA,"B1,B2,B3","0.50,0.20,0.30",0.9611973691424723
2,Q0_TOTAL_ASSETS,B2,1.00,0.41098635772643
2,Q0_TOTAL_LIABILITIES,B2,1.00,0.7830624739944765
2,Q0_TOTAL_STOCKHOLDERS_EQUITY,"B1,B2,B3","0.00,0.70,0.30",-0.20862066422081216
2,Q0_GROSS_PROFIT,B1,1.00,0.9829821529588707
2,Q0_COST_OF_REVENUES,"B1,B2","0.90,0.10",0.9491188596807834
2,Q0_REVENUES,B1,1.00,0.9646400862004478
2,Q0_OPERATING_INCOME,"B1,B2,B3","0.20,0.30,0.50",0.8118848116657527
2,Q0_OPERATING_EXPENSES,"B1,B2,B3","0.70,0.20,0.10",0.9869868358230119
2,Q0_EBITDA,"B1,B2,B3","0.50,0.20,0.30",0.9703765637295753
3,Q0_TOTAL_ASSETS,B2,1.00,0.46673631561544104
3,Q0_TOTAL_LIABILITIES,B2,1.00,0.8262344339229394
3,Q0_TOTAL_STOCKHOLDERS_EQUITY,"B1,B2,B3","0.00,0.80,0.20",-0.16875228206402904
3,Q0_GROSS_PROFIT,B1,1.00,0.9828868921573333
3,Q0_COST_OF_REVENUES,B1,1.00,0.9898739266635819
3,Q0_REVENUES,B1,1.00,0.9864486170328902
3,Q0_OPERATING_INCOME,B1,1.00,0.8400252360103022
3,Q0_OPERATING_EXPENSES,"B1,B2","0.90,0.10",0.9884026408916747
3,Q0_EBITDA,B1,1.00,0.9578230589926316
4,Q0_TOTAL_ASSETS,B2,1.00,0.5233514469676582
4,Q0_TOTAL_LIABILITIES,B2,1.00,0.848168022465215
4,Q0_TOTAL_STOCKHOLDERS_EQUITY,"B1,B2,B3","0.00,0.80,0.20",-0.1067038713164501
4,Q0_GROSS_PROFIT,B1,1.00,0.9719149588046336
4,Q0_COST_OF_REVENUES,"B1,B2","0.90,0.10",0.9563869427915989
4,Q0_REVENUES,B1,1.00,0.9658206277798389
4,Q0_OPERATING_INCOME,"B1,B2,B3","0.20,0.30,0.50",0.7941106749637759
4,Q0_OPERATING_EXPENSES,"B1,B2,B3","0.70,0.20,0.10",0.9853155874130974
4,Q0_EBITDA,"B1,B2,B3","0.50,0.20,0.30",0.9384141397523847
