outer_fold,target,members,weights,inner_oof_r2
0,Q0_TOTAL_ASSETS,"B4,M3d,M4","0.00,0.00,1.00",0.9864765499256831
0,Q0_TOTAL_LIABILITIES,"B4,M3d,M4","0.00,0.00,1.00",0.9893636648630227
0,Q0_TOTAL_STOCKHOLDERS_EQUITY,"B4,M3d,M4","0.00,0.00,1.00",0.9708523228486048
0,Q0_GROSS_PROFIT,"B4,M3d,M4","0.00,0.00,1.00",0.9903433977874665
0,Q0_COST_OF_REVENUES,"B4,M3d,M4","0.00,0.00,1.00",0.9704216964600221
0,Q0_REVENUES,"B4,M3d,M4","0.00,0.00,1.00",0.9801955936523352
0,Q0_OPERATING_INCOME,"B4,M3d,M4","0.00,0.00,1.00",0.8692047817303329
0,Q0_OPERATING_EXPENSES,"B4,M3d,M4","0.00,0.00,1.00",0.9930648533524806
0,Q0_EBITDA,"B4,M3d,M4","0.00,0.00,1.00",0.9750120506982507
1,Q0_TOTAL_ASSETS,"B4,M3d,M4","0.00,0.33,0.67",0.5812309096814317
1,Q0_TOTAL_LIABILITIES,"B4,M3d,M4","0.00,0.02,0.98",0.8634678072874453
1,Q0_TOTAL_STOCKHOLDERS_EQUITY,"B4,M3d,M4","0.00,1.00,0.00",0.23019355787000972
1,Q0_GROSS_PROFIT,"B4,M3d,M4","0.00,0.00,1.00",0.9810764107277753
1,Q0_COST_OF_REVENUES,"B4,M3d,M4","0.00,0.00,1.00",0.9622131900310535
1,Q0_REVENUES,"B4,M3d,M4","0.00,0.00,1.00",0.9701311391765972
1,Q0_OPERATING_INCOME,"B4,M3d,M4","0.00,0.00,1.00",0.7804531713283733
1,Q0_OPERATING_EXPENSES,"B4,M3d,M4","0.00,0.02,0.98",0.9870168091318511
1,Q0_EBITDA,"B4,M3d,M4","1.00,0.00,0.00",0.9611973691424723
2,Q0_TOTAL_ASSETS,"B4,M3d,M4","0.00,0.38,0.62",0.47096430237581566
2,Q0_TOTAL_LIABILITIES,"B4,M3d,M4","0.00,0.05,0.95",0.7975963246690103
2,Q0_TOTAL_STOCKHOLDERS_EQUITY,"B4,M3d,M4","0.01,0.99,0.00",0.14928142996332794
2,Q0_GROSS_PROFIT,"B4,M3d,M4","0.00,0.00,1.00",0.9833872283089286
2,Q0_COST_OF_REVENUES,"B4,M3d,M4","0.00,0.00,1.00",0.9495716456075655
2,Q0_REVENUES,"B4,M3d,M4","0.07,0.00,0.93",0.9650615473452983
2,Q0_OPERATING_INCOME,"B4,M3d,M4","0.00,0.07,0.93",0.8164484917671195
2,Q0_OPERATING_EXPENSES,"B4,M3d,M4","0.00,0.00,1.00",0.987092960280926
2,Q0_EBITDA,"B4,M3d,M4","0.00,0.00,1.00",0.9705740408022996
3,Q0_TOTAL_ASSETS,"B4,M3d,M4","0.00,0.26,0.74",0.5072966901042273
3,Q0_TOTAL_LIABILITIES,"B4,M3d,M4","0.00,0.00,1.00",0.8344806387025991
3,Q0_TOTAL_STOCKHOLDERS_EQUITY,"B4,M3d,M4","0.09,0.91,0.00",0.14958642692279966
3,Q0_GROSS_PROFIT,"B4,M3d,M4","0.00,0.00,1.00",0.9844372752496189
3,Q0_COST_OF_REVENUES,"B4,M3d,M4","0.00,0.00,1.00",0.9899316089150415
3,Q0_REVENUES,"B4,M3d,M4","0.00,0.00,1.00",0.9871617061812092
3,Q0_OPERATING_INCOME,"B4,M3d,M4","0.00,0.00,1.00",0.8498275386258085
3,Q0_OPERATING_EXPENSES,"B4,M3d,M4","0.00,0.02,0.98",0.9887183422625682
3,Q0_EBITDA,"B4,M3d,M4","0.00,0.00,1.00",0.9604441530251203
4,Q0_TOTAL_ASSETS,"B4,M3d,M4","0.00,0.30,0.70",0.6056618447236805
4,Q0_TOTAL_LIABILITIES,"B4,M3d,M4","0.00,0.01,0.99",0.8665436922734907
4,Q0_TOTAL_STOCKHOLDERS_EQUITY,"B4,M3d,M4","0.00,0.70,0.30",0.20478942941954792
4,Q0_GROSS_PROFIT,"B4,M3d,M4","1.00,0.00,0.00",0.9719149588046336
4,Q0_COST_OF_REVENUES,"B4,M3d,M4","0.00,0.00,1.00",0.9566048332485106
4,Q0_REVENUES,"B4,M3d,M4","0.00,0.00,1.00",0.9660052837156109
4,Q0_OPERATING_INCOME,"B4,M3d,M4","0.00,0.00,1.00",0.7959999250539327
4,Q0_OPERATING_EXPENSES,"B4,M3d,M4","0.00,0.02,0.98",0.9860334206280156
4,Q0_EBITDA,"B4,M3d,M4","1.00,0.00,0.00",0.9384141397523847
